Data Riferimento;Macrozona;Sbil aggregato zonale [MWh];Segno aggregato zonale;Scambi [MWh];Estero [MWh];Prezzo base;Componente incentivante;Prezzo di sbilanciamento
01/04/2025 00:00;SUD;-56,366;-;176,355;23,513;169,262;0;169,262
01/04/2025 00:00;NORD;-99,979;-;-176,355;1.591,35;197,623;0;197,623
01/04/2025 00:15;SUD;-63,108;-;136,994;27,658;174,498;0;174,498
01/04/2025 00:15;NORD;-165,747;-;-136,994;1.558,72;178,76;0;178,76
01/04/2025 00:30;NORD;-147,96;-;-97,923;1.543,41;170,186;0;170,186
01/04/2025 00:30;SUD;2,789;+;97,923;31,322;49,961;0;49,961
01/04/2025 00:45;NORD;-70,383;-;-103,492;1.586,43;183,406;0;183,406
01/04/2025 00:45;SUD;9,125;+;103,492;34,073;34,383;0;34,383
01/04/2025 01:00;SUD;-89,131;-;139,472;30,741;168,937;0;168,937
01/04/2025 01:00;NORD;-156,276;-;-139,472;1.560,83;178,769;0;178,769
01/04/2025 01:15;SUD;-132,342;-;146,047;32,565;174,443;0;174,443
01/04/2025 01:15;NORD;-213,522;-;-146,047;1.577,17;187,659;0;187,659
01/04/2025 01:30;NORD;-144,714;-;-163,048;1.478,56;194,755;0;194,755
01/04/2025 01:30;SUD;-139,594;-;163,048;36,361;178,402;0;178,402
01/04/2025 01:45;NORD;-120,958;-;-135,107;1.526,97;179,39;0;179,39
01/04/2025 01:45;SUD;-134,915;-;135,107;38,499;175,066;0;175,066
01/04/2025 02:00;SUD;-111,538;-;187,297;40,082;173,833;0;173,833
01/04/2025 02:00;NORD;-166,938;-;-187,297;1.564,89;175,416;0;175,416
01/04/2025 02:15;SUD;-102,905;-;146,557;41,724;175,648;0;175,648
01/04/2025 02:15;NORD;-80,812;-;-146,557;1.472,24;180,383;0;180,383
01/04/2025 02:30;NORD;-60,176;-;-82,031;1.440,12;181,227;0;181,227
01/04/2025 02:30;SUD;-70,791;-;82,031;42,173;176,761;0;176,761
01/04/2025 02:45;NORD;-110,363;-;-58,535;1.529,58;165,209;0;165,209
01/04/2025 02:45;SUD;-43,208;-;58,535;42,739;174,469;0;174,469
01/04/2025 03:00;SUD;-62,336;-;-30,456;42,37;158,409;0;158,409
01/04/2025 03:00;NORD;-161,842;-;30,456;1.505,13;164,177;0;164,177
01/04/2025 03:15;NORD;-152,594;-;54,157;1.480,59;161,667;0;161,667
01/04/2025 03:15;SUD;-41,75;-;-54,157;42,525;157,4;0;157,4
01/04/2025 03:30;SUD;-48,643;-;-37,946;42,752;155,511;0;155,511
01/04/2025 03:30;NORD;-145,166;-;37,946;1.458,59;161,809;0;161,809
01/04/2025 03:45;NORD;-175,336;-;78,331;1.435,17;163,037;0;163,037
01/04/2025 03:45;SUD;-24,347;-;-78,331;42,82;155,32;0;155,32
01/04/2025 04:00;SUD;-6,933;-;-86,392;41,766;155,348;0;155,348
01/04/2025 04:00;NORD;-108,427;-;86,392;1.358,42;150,777;0;150,777
01/04/2025 04:15;SUD;-68,926;-;-76,369;40,83;163,734;0;163,734
01/04/2025 04:15;NORD;-106,187;-;76,369;1.439,77;144,652;0;144,652
01/04/2025 04:30;NORD;-183,211;-;68,772;1.468,14;153,869;0;153,869
01/04/2025 04:30;SUD;-105,044;-;-68,772;40,468;165,493;0;165,493
01/04/2025 04:45;NORD;-109,919;-;74,052;1.312,12;158,297;0;158,297
01/04/2025 04:45;SUD;-128,591;-;-74,052;38,903;178,091;0;178,091
01/04/2025 05:00;SUD;-43,985;-;-108,071;35,282;167,392;0;167,392
01/04/2025 05:00;NORD;-68,71;-;108,071;1.256,23;150,587;0;150,587
01/04/2025 05:15;SUD;-107,665;-;-62,346;33,016;161,87;0;161,87
01/04/2025 05:15;NORD;-100,146;-;62,346;1.324,98;148,18;0;148,18
01/04/2025 05:30;NORD;-72,342;-;58,669;1.304,56;143,534;0;143,534
01/04/2025 05:30;SUD;-90,953;-;-58,669;29,364;161,744;0;161,744
01/04/2025 05:45;NORD;-161,433;-;63,983;1.184,98;143,04;0;143,04
01/04/2025 05:45;SUD;-81,721;-;-63,983;26,096;161,146;0;161,146
01/04/2025 06:00;SUD;-54,118;-;-107,553;1,775;148,803;0;148,803
01/04/2025 06:00;NORD;-120,668;-;107,553;959,328;135,571;0;135,571
01/04/2025 06:15;SUD;-78,636;-;-95,375;4,446;148,803;0;148,803
01/04/2025 06:15;NORD;-31,683;-;95,375;819,186;150,844;0;150,844
01/04/2025 06:30;NORD;-126,018;-;22,349;864,277;189,965;0;189,965
01/04/2025 06:30;SUD;-188,175;-;-22,349;7,145;148,803;0;148,803
01/04/2025 06:45;NORD;-191,299;-;-58,953;862,97;182,65;0;182,65
01/04/2025 06:45;SUD;-259,046;-;58,953;-0,096;220;0;220
01/04/2025 07:00;SUD;-95,72;-;8,727;-36,339;220;0;220
01/04/2025 07:00;NORD;-174,51;-;-8,727;670,385;214,035;0;214,035
01/04/2025 07:15;SUD;-110,749;-;64,873;-41,65;220;0;220
01/04/2025 07:15;NORD;-203,17;-;-64,873;750,18;239,464;0;239,464
01/04/2025 07:30;NORD;-218,357;-;-146,581;878,519;243,728;0;243,728
01/04/2025 07:30;SUD;-191,433;-;146,581;-42,734;150,425;11,495;161,92
01/04/2025 07:45;NORD;-217,539;-;-150,602;876,298;220,95;0;220,95
01/04/2025 07:45;SUD;-176,412;-;150,602;-36,872;220;0;220
01/04/2025 08:00;SUD;-184,712;-;246,051;-12,879;220;0;220
