Data Riferimento;Macrozona;Sbil aggregato zonale [MWh];Segno aggregato zonale;Scambi [MWh];Estero [MWh];Prezzo base;Componente incentivante;Prezzo di sbilanciamento
01/05/2025 00:00;NORD;-73,791;-;-561,447;990,308;200,572;0;200,572
01/05/2025 00:00;SUD;78,312;+;561,447;0,171;68,421;0;68,421
01/05/2025 00:15;NORD;-98,033;-;-585,633;890,572;199,859;0;199,859
01/05/2025 00:15;SUD;68,463;+;585,633;6,784;154,083;-47,883;106,2
01/05/2025 00:30;SUD;70,659;+;550,874;9,156;154,083;-47,883;106,2
01/05/2025 00:30;NORD;-50,043;-;-550,874;857,663;198,665;0;198,665
01/05/2025 00:45;SUD;75,121;+;502,957;11,912;21,672;0;21,672
01/05/2025 00:45;NORD;-17,08;-;-502,957;822,218;207,976;0;207,976
01/05/2025 01:00;NORD;-7,928;-;-519,357;978,599;202,302;0;202,302
01/05/2025 01:00;SUD;21,908;+;519,357;15,094;17,253;0;17,253
01/05/2025 01:15;NORD;-61,281;-;-506,253;868,928;210,499;0;210,499
01/05/2025 01:15;SUD;36,718;+;506,253;10,129;0;0;0
01/05/2025 01:30;SUD;53,081;+;483,937;5,844;41,598;0;41,598
01/05/2025 01:30;NORD;37,17;+;-483,937;860,472;52,056;0;52,056
01/05/2025 01:45;SUD;47,235;+;460,496;6,479;57,56;0;57,56
01/05/2025 01:45;NORD;39,835;+;-460,496;910,46;49,088;0;49,088
01/05/2025 02:00;NORD;5,55;+;-443,345;914,637;46,379;0;46,379
01/05/2025 02:00;SUD;20,505;+;443,345;2,563;62,754;0;62,754
01/05/2025 02:15;NORD;20,165;+;-405,889;860,269;46,896;0;46,896
01/05/2025 02:15;SUD;72,267;+;405,889;1,501;69,39;0;69,39
01/05/2025 02:30;SUD;137,58;+;353,746;2,538;69,519;0;69,519
01/05/2025 02:30;NORD;30,765;+;-353,746;811,334;57,686;0;57,686
01/05/2025 02:45;SUD;167,357;+;312,368;3,422;70,246;0;70,246
01/05/2025 02:45;NORD;96,987;+;-312,368;800,833;65,075;0;65,075
01/05/2025 03:00;NORD;-2,347;-;-305,948;893,915;215;0;215
01/05/2025 03:00;SUD;107,477;+;305,948;8,509;67,867;0;67,867
01/05/2025 03:15;NORD;41,629;+;-277,476;859,47;61,242;0;61,242
01/05/2025 03:15;SUD;154,67;+;277,476;9,228;67,871;0;67,871
01/05/2025 03:30;SUD;178,078;+;261,213;10,049;47,024;0;47,024
01/05/2025 03:30;NORD;69,989;+;-261,213;875,549;45,947;0;45,947
01/05/2025 03:45;SUD;175,662;+;265,617;9,668;23,143;0;23,143
01/05/2025 03:45;NORD;99,784;+;-265,617;911,706;38,629;0;38,629
01/05/2025 04:00;NORD;52,342;+;-247,348;835,758;34,283;0;34,283
01/05/2025 04:00;SUD;151,508;+;247,348;0,558;42,777;0;42,777
01/05/2025 04:15;NORD;47,849;+;-234,547;787,731;41,387;0;41,387
01/05/2025 04:15;SUD;140,25;+;234,547;-0,784;65,24;0;65,24
01/05/2025 04:30;SUD;146,439;+;226,276;-1,132;68,085;0;68,085
01/05/2025 04:30;NORD;62,229;+;-226,276;761,085;43,588;0;43,588
01/05/2025 04:45;SUD;146,654;+;216,008;-0,086;69,072;0;69,072
01/05/2025 04:45;NORD;93,931;+;-216,008;746,516;46,893;0;46,893
01/05/2025 05:00;NORD;47,513;+;-188,876;675,199;45,152;0;45,152
01/05/2025 05:00;SUD;118,457;+;188,876;5,937;69,493;0;69,493
01/05/2025 05:15;NORD;57,886;+;-186,179;635,803;52,512;0;52,512
01/05/2025 05:15;SUD;110,807;+;186,179;6,004;69,506;0;69,506
01/05/2025 05:30;SUD;112,934;+;171,076;4,011;70,294;0;70,294
01/05/2025 05:30;NORD;72,158;+;-171,076;544,891;62,104;0;62,104
01/05/2025 05:45;SUD;122,82;+;176,906;4,993;69,919;0;69,919
01/05/2025 05:45;NORD;119,687;+;-176,906;548,635;59,674;0;59,674
01/05/2025 06:00;NORD;78,641;+;-145,274;514,368;38,403;0;38,403
01/05/2025 06:00;SUD;109,774;+;145,274;29,928;65,288;0;65,288
01/05/2025 06:15;NORD;65,315;+;-119,801;452,065;48,271;0;48,271
01/05/2025 06:15;SUD;146,715;+;119,801;38,835;67,426;0;67,426
01/05/2025 06:30;SUD;170,435;+;116,011;43,753;20,439;0;20,439
01/05/2025 06:30;NORD;102,044;+;-116,011;406,831;60,84;0;60,84
01/05/2025 06:45;SUD;196,78;+;124,084;51,188;10,125;0;10,125
01/05/2025 06:45;NORD;143,693;+;-124,084;481,773;43,434;0;43,434
01/05/2025 07:00;NORD;-1,551;-;63,095;207,458;183,852;0;183,852
01/05/2025 07:00;SUD;102,487;+;-63,095;90,584;40,342;0;40,342
01/05/2025 07:15;NORD;34,544;+;136,829;66,375;59,867;0;59,867
01/05/2025 07:15;SUD;146,958;+;-136,829;96,009;67,326;0;67,326
01/05/2025 07:30;SUD;136,821;+;-125,154;97,036;15,253;0;15,253
01/05/2025 07:30;NORD;132,068;+;125,154;147,301;18,138;0;18,138
01/05/2025 07:45;SUD;174,435;+;-141,004;100,464;8,14;0;8,14
01/05/2025 07:45;NORD;179,316;+;141,004;170,988;13,035;0;13,035
01/05/2025 08:00;NORD;-2,641;-;251,868;49,56;220,942;0;220,942
01/05/2025 08:00;SUD;-34,362;-;-251,868;112,794;218,605;0;218,605
01/05/2025 08:15;NORD;8,608;+;366,368;-71,471;0,068;0;0,068
01/05/2025 08:15;SUD;-12,55;-;-366,368;116,125;168,1;0;168,1
01/05/2025 08:30;SUD;111,861;+;-436,454;117,98;0,01;0;0,01
01/05/2025 08:30;NORD;41,838;+;436,454;-114,508;0;0;0
01/05/2025 08:45;SUD;228,056;+;-520,637;90,025;0,009;0;0,009
01/05/2025 08:45;NORD;151,773;+;520,637;-168,707;0,008;0;0,008
01/05/2025 09:00;NORD;212,421;+;562,294;-182,876;0,006;0;0,006
01/05/2025 09:00;SUD;218,736;+;-562,294;-8,542;3,224;0;3,224
01/05/2025 09:15;NORD;268,215;+;657,586;-180,364;0,004;0;0,004
01/05/2025 09:15;SUD;380,551;+;-657,586;-5,946;12,606;0;12,606
01/05/2025 09:30;SUD;498,282;+;-655,05;-3,843;5,499;0;5,499
01/05/2025 09:30;NORD;303,353;+;655,05;-171,028;0,004;0;0,004
01/05/2025 09:45;SUD;661,546;+;-525,027;-2,932;3,127;0;3,127
01/05/2025 09:45;NORD;428,104;+;525,027;-146,598;0,049;0;0,049
01/05/2025 10:00;NORD;426,015;+;365,047;-19,1;0;0;0
01/05/2025 10:00;SUD;673,055;+;-365,047;-3,201;4,04;-3,04;1
