Data Riferimento;Macrozona;Sbil aggregato zonale [MWh];Segno aggregato zonale;Scambi [MWh];Estero [MWh];Prezzo base;Componente incentivante;Prezzo di sbilanciamento
01/01/2025 00:00;NORD;685,539;+;-761,87;1.125,53;66,256;0;66,256
01/01/2025 00:00;SUD;622,69;+;761,87;85,765;64,369;0;64,369
01/01/2025 00:15;NORD;626,849;+;-722,36;1.141,54;0;0;0
01/01/2025 00:15;SUD;624,837;+;722,36;80,293;0,006;0;0,006
01/01/2025 00:30;NORD;699,204;+;-630,624;942,769;3,89;0;3,89
01/01/2025 00:30;SUD;520,784;+;630,624;80,425;0,02;0;0,02
01/01/2025 00:45;SUD;369,653;+;612,897;80,376;0;0;0
01/01/2025 00:45;NORD;732,83;+;-612,897;978,565;130,9;0;130,9
01/01/2025 01:00;SUD;197,037;+;583,294;145,61;52,001;0;52,001
01/01/2025 01:00;NORD;675,157;+;-583,294;898,02;103,971;0;103,971
01/01/2025 01:15;NORD;-117,646;-;-669,16;909,957;245,838;0;245,838
01/01/2025 01:15;SUD;-228,764;-;669,16;147,24;270,002;0;270,002
01/01/2025 01:30;NORD;-108,234;-;-728,248;939,564;219,19;0;219,19
01/01/2025 01:30;SUD;-205,52;-;728,248;148,276;263,572;0;263,572
01/01/2025 01:45;NORD;391,238;+;-736,956;962,271;100,757;0;100,757
01/01/2025 01:45;SUD;414,161;+;736,956;150,897;2,462;0;2,462
01/01/2025 02:00;NORD;408,308;+;-665,169;882,169;103,403;0;103,403
01/01/2025 02:00;SUD;73,246;+;665,169;189,675;24,828;0;24,828
01/01/2025 02:15;NORD;378,329;+;-665,376;917,391;103,403;0;103,403
01/01/2025 02:15;SUD;185,64;+;665,376;196,004;14,161;0;14,161
01/01/2025 02:30;NORD;411,361;+;-637,208;877,721;100,013;0;100,013
01/01/2025 02:30;SUD;261,614;+;637,208;196,003;19,276;0;19,276
01/01/2025 02:45;NORD;523,527;+;-681,321;955,512;100,123;0;100,123
01/01/2025 02:45;SUD;286,167;+;681,321;197,817;35,624;0;35,624
01/01/2025 03:00;NORD;387,468;+;-739,223;971,196;26,141;0;26,141
01/01/2025 03:00;SUD;234,402;+;739,223;184,433;6,145;0;6,145
01/01/2025 03:15;NORD;-81,724;-;-730,811;978,444;189,521;0;189,521
01/01/2025 03:15;SUD;-203,59;-;730,811;181,228;241,287;0;241,287
01/01/2025 03:30;NORD;-70,909;-;-734,944;1.016,11;190,612;0;190,612
01/01/2025 03:30;SUD;-166,275;-;734,944;182,726;234,897;0;234,897
01/01/2025 03:45;SUD;-143,364;-;738,105;184,515;230,359;0;230,359
01/01/2025 03:45;NORD;-83,919;-;-738,105;1.052,22;191,122;0;191,122
01/01/2025 04:00;NORD;-85,886;-;-710,906;988,969;192,369;0;192,369
01/01/2025 04:00;SUD;-144,251;-;710,906;188,242;239,498;0;239,498
01/01/2025 04:15;SUD;-124,648;-;705,367;187,756;242,237;0;242,237
01/01/2025 04:15;NORD;-77,409;-;-705,367;990,505;192,717;0;192,717
01/01/2025 04:30;NORD;-39,561;-;-690,17;1.001,22;194,023;0;194,023
01/01/2025 04:30;SUD;-90,882;-;690,17;187,288;217,633;0;217,633
01/01/2025 04:45;SUD;-68,144;-;678,265;188,117;218,478;0;218,478
01/01/2025 04:45;NORD;-30,129;-;-678,265;992,23;196,096;0;196,096
01/01/2025 05:00;SUD;-55,265;-;687,479;184,447;216,993;0;216,993
01/01/2025 05:00;NORD;-33,211;-;-687,479;1.008,52;194,932;0;194,932
01/01/2025 05:15;NORD;-26,583;-;-675,921;989,67;195,189;0;195,189
01/01/2025 05:15;SUD;-43,988;-;675,921;183,874;226,602;0;226,602
01/01/2025 05:30;SUD;-50,496;-;676,271;182,296;233,106;0;233,106
01/01/2025 05:30;NORD;-42,126;-;-676,271;995,82;194,717;0;194,717
01/01/2025 05:45;SUD;-33,016;-;688,434;181,863;230,419;0;230,419
01/01/2025 05:45;NORD;-61,994;-;-688,434;1.001,06;194,17;0;194,17
01/01/2025 06:00;SUD;-13,211;-;623,987;195,072;219,577;0;219,577
01/01/2025 06:00;NORD;17,947;+;-623,987;1.019,08;102;0;102
01/01/2025 06:15;NORD;-10,312;-;-623,793;994,92;192,718;0;192,718
01/01/2025 06:15;SUD;-38,082;-;623,793;201,266;222,933;0;222,933
01/01/2025 06:30;NORD;-38,93;-;-633,601;995,082;190,728;0;190,728
01/01/2025 06:30;SUD;-78,135;-;633,601;200,98;228,805;0;228,805
01/01/2025 06:45;NORD;-35,197;-;-626,754;987,51;198,367;0;198,367
01/01/2025 06:45;SUD;-99,353;-;626,754;198,54;238,215;0;238,215
01/01/2025 07:00;NORD;34,964;+;-553,105;1.032,98;89,281;0;89,281
01/01/2025 07:00;SUD;-76,868;-;553,105;198,833;220,714;0;220,714
01/01/2025 07:15;NORD;6,787;+;-527,661;1.050,80;89,496;0;89,496
01/01/2025 07:15;SUD;-72,212;-;527,661;200,227;225,236;0;225,236
01/01/2025 07:30;NORD;9,216;+;-544,708;1.071,64;125,288;0;125,288
01/01/2025 07:30;SUD;-68,88;-;544,708;199,059;232,558;0;232,558
01/01/2025 07:45;SUD;-44,978;-;530,115;204,23;244,341;0;244,341
01/01/2025 07:45;NORD;121,146;+;-530,115;1.053,50;95,25;0;95,25
01/01/2025 08:00;NORD;105,136;+;-454,65;897,016;75,213;0;75,213
01/01/2025 08:00;SUD;84,324;+;454,65;224,417;2,956;0;2,956
01/01/2025 08:15;NORD;140,426;+;-531,208;1.029,59;78,555;0;78,555
01/01/2025 08:15;SUD;56,02;+;531,208;223,054;58,027;0;58,027
01/01/2025 08:30;SUD;92,708;+;517,686;223,514;54,708;0;54,708
01/01/2025 08:30;NORD;153,827;+;-517,686;1.065,79;77,47;0;77,47
01/01/2025 08:45;SUD;146,677;+;524,543;222,265;43,571;0;43,571
01/01/2025 08:45;NORD;172,457;+;-524,543;1.138,12;74,218;0;74,218
01/01/2025 09:00;NORD;180,739;+;-537,954;1.203,05;76,783;0;76,783
01/01/2025 09:00;SUD;77,587;+;537,954;195,467;29,2;0;29,2
01/01/2025 09:15;NORD;221,573;+;-500,768;1.143,58;76,025;0;76,025
01/01/2025 09:15;SUD;125,202;+;500,768;188,936;25,91;0;25,91
01/01/2025 09:30;SUD;190,45;+;464,715;191,452;35,498;0;35,498
01/01/2025 09:30;NORD;260,202;+;-464,715;1.147,10;71,265;0;71,265
01/01/2025 09:45;SUD;241,191;+;451,093;191,381;34,717;0;34,717
01/01/2025 09:45;NORD;292,241;+;-451,093;1.174,54;73,306;0;73,306
01/01/2025 10:00;NORD;293,993;+;-427,732;1.058,48;55,923;0;55,923
01/01/2025 10:00;SUD;99,145;+;427,732;189,729;0,026;0;0,026
01/01/2025 10:15;NORD;336,663;+;-444,578;1.054,05;49,613;0;49,613
01/01/2025 10:15;SUD;115,732;+;444,578;191,975;0,103;0;0,103
01/01/2025 10:30;SUD;181,077;+;435,108;194,292;0,071;0;0,071
01/01/2025 10:30;NORD;402,99;+;-435,108;1.089,19;53,983;0;53,983
01/01/2025 10:45;SUD;112,567;+;469,924;194,2;0,071;0;0,071
01/01/2025 10:45;NORD;447,188;+;-469,924;1.116,13;51,656;0;51,656
01/01/2025 11:00;NORD;321,058;+;-484,367;1.115,42;40,8;0;40,8
01/01/2025 11:00;SUD;76,922;+;484,367;179,475;0,072;0;0,072
01/01/2025 11:15;NORD;299,696;+;-489,675;1.133,79;38,04;0;38,04
01/01/2025 11:15;SUD;48,194;+;489,675;185,495;0,072;0;0,072
01/01/2025 11:30;SUD;21,073;+;425,216;192,664;0,015;0;0,015
01/01/2025 11:30;NORD;311,281;+;-425,216;1.087,65;40,343;0;40,343
01/01/2025 11:45;SUD;5,565;+;418,028;189,355;0,001;0;0,001
01/01/2025 11:45;NORD;324,027;+;-418,028;1.047,63;41,906;0;41,906
01/01/2025 12:00;NORD;277,533;+;-490,789;1.029,34;38,235;0;38,235
01/01/2025 12:00;SUD;81,086;+;490,789;188,213;0,003;0;0,003
01/01/2025 12:15;NORD;310,541;+;-536,02;1.007,74;31,875;0;31,875
01/01/2025 12:15;SUD;62,74;+;536,02;189,845;0,003;0;0,003
01/01/2025 12:30;SUD;32,819;+;529,772;189,904;0,001;0;0,001
01/01/2025 12:30;NORD;256,449;+;-529,772;1.026,63;54,384;0;54,384
01/01/2025 12:45;SUD;42,777;+;506,417;189,927;0;0;0
01/01/2025 12:45;NORD;254,074;+;-506,417;1.067,13;62,675;0;62,675
01/01/2025 13:00;NORD;234,234;+;-469,939;1.107,27;33,385;0;33,385
01/01/2025 13:00;SUD;-30,297;-;469,939;198,353;165,15;0;165,15
01/01/2025 13:15;NORD;265,485;+;-446,904;1.094,25;26,512;0;26,512
01/01/2025 13:15;SUD;9,931;+;446,904;200,997;0;0;0
01/01/2025 13:30;SUD;44,207;+;436,972;199,92;0;0;0
01/01/2025 13:30;NORD;264,63;+;-436,972;1.127,75;22,368;0;22,368
01/01/2025 13:45;SUD;21,587;+;448,46;195,173;0;0;0
01/01/2025 13:45;NORD;251,559;+;-448,46;1.113,08;25,096;0;25,096
01/01/2025 14:00;NORD;206,548;+;-464,37;1.065,58;32,658;0;32,658
01/01/2025 14:00;SUD;110,115;+;464,37;184,742;0;0;0
01/01/2025 14:15;NORD;254,218;+;-511,83;1.074,81;48,904;0;48,904
01/01/2025 14:15;SUD;93,555;+;511,83;181,014;0,647;0;0,647
01/01/2025 14:30;SUD;42,109;+;537,697;176,378;0,113;0;0,113
01/01/2025 14:30;NORD;157,123;+;-537,697;1.089,57;51,113;0;51,113
01/01/2025 14:45;SUD;-14,937;-;604,341;176,354;219,885;0;219,885
01/01/2025 14:45;NORD;80,956;+;-604,341;1.154,53;46,61;0;46,61
01/01/2025 15:00;NORD;222,029;+;-642,717;1.191,83;67,844;0;67,844
01/01/2025 15:00;SUD;154,105;+;642,717;152,428;20,822;0;20,822
01/01/2025 15:15;NORD;190,084;+;-713,531;1.217,36;53,883;0;53,883
01/01/2025 15:15;SUD;53,557;+;713,531;148,094;7,198;0;7,198
01/01/2025 15:30;SUD;-47,399;-;768,431;145,121;207,598;0;207,598
01/01/2025 15:30;NORD;70,439;+;-768,431;1.196,91;42,181;0;42,181
01/01/2025 15:45;SUD;-141,971;-;827,077;118,783;200,447;0;200,447
01/01/2025 15:45;NORD;45,145;+;-827,077;1.174,14;85,158;0;85,158
01/01/2025 16:00;NORD;75,476;+;-810,515;1.000,03;97,874;0;97,874
01/01/2025 16:00;SUD;65,1;+;810,515;12,141;36,2;0;36,2
01/01/2025 16:15;NORD;97,793;+;-876,906;1.047,62;98,019;0;98,019
01/01/2025 16:15;SUD;23,907;+;876,906;-3,941;108,99;0;108,99
01/01/2025 16:30;SUD;-20,24;-;882,288;-5,933;286,614;0;286,614
01/01/2025 16:30;NORD;24,935;+;-882,288;1.133,95;98,964;0;98,964
01/01/2025 16:45;SUD;-72,294;-;948,887;-3,673;289,112;0;289,112
01/01/2025 16:45;NORD;-77,144;-;-948,887;1.235,31;189,112;0;189,112
01/01/2025 17:00;NORD;5,032;+;-987,485;1.183,90;110;0;110
01/01/2025 17:00;SUD;-69,75;-;987,485;37,556;354,727;0;354,727
01/01/2025 17:15;NORD;-59,426;-;-1.029,92;1.223,23;201,25;0;201,25
01/01/2025 17:15;SUD;-110,709;-;1.029,92;35,083;307,415;0;307,415
01/01/2025 17:30;SUD;-149,041;-;1.019,21;37,2;287,492;0;287,492
01/01/2025 17:30;NORD;-113,589;-;-1.019,21;1.204,44;199,901;0;199,901
01/01/2025 17:45;SUD;-165,982;-;919,893;37,357;276,68;0;276,68
01/01/2025 17:45;NORD;-110,618;-;-919,893;1.144,34;208,148;0;208,148
01/01/2025 18:00;NORD;6,247;+;-908,105;1.020,53;41,697;0;41,697
01/01/2025 18:00;SUD;-128,662;-;908,105;48,461;264,218;0;264,218
01/01/2025 18:15;NORD;10,517;+;-925,826;1.093,82;51,875;0;51,875
01/01/2025 18:15;SUD;-128,486;-;925,826;50,392;252,168;0;252,168
01/01/2025 18:30;SUD;-129,904;-;953,206;50,771;254,038;0;254,038
01/01/2025 18:30;NORD;-16,206;-;-953,206;1.119,97;285,141;0;285,141
01/01/2025 18:45;SUD;-149,727;-;971,743;53,991;251,567;0;251,567
01/01/2025 18:45;NORD;-64,775;-;-971,743;1.161,37;348,913;0;348,913
01/01/2025 19:00;NORD;-19,299;-;-1.000,19;1.140,11;392,698;0;392,698
01/01/2025 19:00;SUD;-59,873;-;1.000,19;105,49;238,477;0;238,477
01/01/2025 19:15;NORD;14,473;+;-1.024,12;1.119,18;38,946;0;38,946
01/01/2025 19:15;SUD;-93,195;-;1.024,12;118,011;238,054;0;238,054
01/01/2025 19:30;SUD;-113,696;-;1.044,98;118,073;234,435;0;234,435
01/01/2025 19:30;NORD;38,074;+;-1.044,98;1.111,00;28,073;0;28,073
01/01/2025 19:45;SUD;-128,988;-;1.055,72;122,007;234,907;0;234,907
01/01/2025 19:45;NORD;54,712;+;-1.055,72;1.105,02;52,728;0;52,728
01/01/2025 20:00;NORD;27,787;+;-1.020,59;1.212,14;62,188;0;62,188
01/01/2025 20:00;SUD;-105,459;-;1.020,59;140,466;244,344;0;244,344
01/01/2025 20:15;NORD;37,712;+;-1.006,95;1.148,59;133,051;0;133,051
01/01/2025 20:15;SUD;-104,114;-;1.006,95;144,911;245,961;0;245,961
01/01/2025 20:30;SUD;-71,043;-;1.001,18;143,965;236,735;0;236,735
01/01/2025 20:30;NORD;62,101;+;-1.001,18;1.164,32;133,692;0;133,692
01/01/2025 20:45;SUD;-49,793;-;988,507;146,482;237,699;0;237,699
01/01/2025 20:45;NORD;87,726;+;-988,507;1.103,50;69,692;0;69,692
01/01/2025 21:00;NORD;-48,188;-;-919,82;1.189,29;189,148;0;189,148
01/01/2025 21:00;SUD;-131,415;-;919,82;165,48;239,96;0;239,96
01/01/2025 21:15;NORD;-47,173;-;-896,419;1.140,94;188,568;0;188,568
01/01/2025 21:15;SUD;-110,146;-;896,419;170,61;241,517;0;241,517
01/01/2025 21:30;SUD;-78,008;-;866,641;171,001;249,363;0;249,363
01/01/2025 21:30;NORD;20,156;+;-866,641;1.113,85;132,261;0;132,261
01/01/2025 21:45;SUD;-52,657;-;861,449;173,269;251,405;0;251,405
01/01/2025 21:45;NORD;66,08;+;-861,449;1.089,91;102,75;0;102,75
01/01/2025 22:00;NORD;-5,577;-;-806,908;1.166,50;187,324;0;187,324
01/01/2025 22:00;SUD;-179,446;-;806,908;181,978;240,647;0;240,647
01/01/2025 22:15;NORD;-17,748;-;-765,938;1.145,29;187,32;0;187,32
01/01/2025 22:15;SUD;-147,648;-;765,938;181,362;248,062;0;248,062
01/01/2025 22:30;SUD;-90,099;-;748;182,998;210,115;0;210,115
01/01/2025 22:30;NORD;82,377;+;-748;1.086,93;100,955;0;100,955
01/01/2025 22:45;SUD;-32,181;-;750,536;179,791;195,772;0;195,772
01/01/2025 22:45;NORD;117,898;+;-750,536;1.091,55;94,338;0;94,338
