Data Riferimento;Macrozona;Sbil aggregato zonale [MWh];Segno aggregato zonale;Scambi [MWh];Estero [MWh];Prezzo base;Componente incentivante;Prezzo di sbilanciamento
01/08/2025 08:00;NORD;-86,334;-;-569,632;1.828,77;201,697;0;201,697
01/08/2025 08:15;SUD;75,416;+;482,271;22,001;88,842;0;88,842
01/08/2025 08:15;NORD;36,883;+;-482,271;1.821,78;85,746;0;85,746
01/08/2025 08:30;NORD;17,546;+;-364,582;1.823,39;58,354;0;58,354
01/08/2025 08:30;SUD;139,211;+;364,582;23,302;85,675;0;85,675
01/08/2025 08:45;NORD;92,1;+;-285,923;1.837,75;78,011;0;78,011
01/08/2025 08:45;SUD;119,705;+;285,923;19,521;85,605;0;85,605
01/08/2025 09:00;SUD;25,119;+;379,952;-8,92;25,788;0;25,788
01/08/2025 09:00;NORD;-33,933;-;-379,952;1.888,41;196,595;0;196,595
01/08/2025 09:15;SUD;80,275;+;349,2;-13,121;86,406;0;86,406
01/08/2025 09:15;NORD;8,186;+;-349,2;1.894,30;86,186;0;86,186
01/08/2025 09:30;NORD;55,638;+;-311,186;1.882,46;86,7;0;86,7
01/08/2025 09:30;SUD;152,164;+;311,186;-11,725;86,583;0;86,583
01/08/2025 09:45;NORD;112,013;+;-266,389;1.913,43;77,379;0;77,379
01/08/2025 09:45;SUD;189,221;+;266,389;-10,622;86,609;0;86,609
01/08/2025 10:00;SUD;68,323;+;257,224;-17,165;84,527;0;84,527
01/08/2025 10:00;NORD;14,96;+;-257,224;1.925,84;66,577;0;66,577
01/08/2025 10:15;SUD;-0,797;-;284,046;-23,262;222,622;0;222,622
01/08/2025 10:15;NORD;26,836;+;-284,046;1.897,78;66,676;0;66,676
01/08/2025 10:30;NORD;51,146;+;-234,035;1.889,61;88,109;0;88,109
01/08/2025 10:30;SUD;75,878;+;234,035;-28,492;84;0;84
01/08/2025 10:45;NORD;-38,274;-;-331,88;2.048,06;209,924;0;209,924
01/08/2025 10:45;SUD;179,947;+;331,88;-37,067;27,941;0;27,941
01/08/2025 11:00;SUD;-58,05;-;221,243;-37,893;181,061;0;181,061
01/08/2025 11:00;NORD;-109,299;-;-221,243;2.105,68;170,489;0;170,489
01/08/2025 11:15;SUD;-37,849;-;126,563;-36,333;177,77;0;177,77
01/08/2025 11:15;NORD;-114,89;-;-126,563;1.904,36;171,614;0;171,614
01/08/2025 11:30;NORD;-209,247;-;-102,918;1.897,10;175,088;0;175,088
01/08/2025 11:30;SUD;49,024;+;102,918;-36,132;160,541;-60,541;100
01/08/2025 11:45;NORD;-183,494;-;-94,979;1.884,80;176,939;0;176,939
01/08/2025 11:45;SUD;37,157;+;94,979;-34,003;78;0;78
01/08/2025 12:00;SUD;-3,57;-;80,457;-34,735;176,734;0;176,734
01/08/2025 12:00;NORD;-132,752;-;-80,457;1.886,25;177,434;0;177,434
01/08/2025 12:15;SUD;-55,023;-;106,704;-34,54;174,466;0;174,466
01/08/2025 12:15;NORD;-252,653;-;-106,704;1.899,62;176,134;0;176,134
01/08/2025 12:30;NORD;-210,04;-;-127,754;1.871,62;176,882;0;176,882
01/08/2025 12:30;SUD;-6,406;-;127,754;-33,283;174,186;0;174,186
01/08/2025 12:45;NORD;-136;-;-125,202;1.868,02;177,239;0;177,239
01/08/2025 12:45;SUD;-23,786;-;125,202;-32,697;174,651;0;174,651
01/08/2025 13:00;SUD;-88,121;-;92,746;-34,732;175,436;0;175,436
01/08/2025 13:00;NORD;-63,7;-;-92,746;1.870,51;177,655;0;177,655
01/08/2025 13:15;SUD;-99,431;-;67,069;-33,92;176,735;0;176,735
01/08/2025 13:15;NORD;-11,43;-;-67,069;1.854,56;177,929;0;177,929
01/08/2025 13:30;NORD;-7,017;-;-82,363;1.873,42;177,932;0;177,932
01/08/2025 13:30;SUD;-89,091;-;82,363;-34,633;176,734;0;176,734
01/08/2025 13:45;NORD;-61,627;-;-61,736;1.889,01;177,931;0;177,931
01/08/2025 13:45;SUD;-85,172;-;61,736;-36,469;176,733;0;176,733
01/08/2025 14:00;SUD;-131,386;-;114,54;-36,948;176,663;0;176,663
01/08/2025 14:00;NORD;35,97;+;-114,54;1.912,11;81,495;0;81,495
01/08/2025 14:15;SUD;-173,427;-;152,446;-37,884;176,663;0;176,663
01/08/2025 14:15;NORD;104,727;+;-152,446;1.891,88;81,3;0;81,3
01/08/2025 14:30;NORD;146,34;+;-216,874;1.909,05;81,3;0;81,3
01/08/2025 14:30;SUD;-190,66;-;216,874;-39,256;176,596;0;176,596
01/08/2025 14:45;NORD;134,891;+;-206,922;1.886,66;82,372;0;82,372
01/08/2025 14:45;SUD;-154,715;-;206,922;-32,632;160,539;0;160,539
01/08/2025 15:00;NORD;272,573;+;-204,097;1.723,96;56,987;0;56,987
01/08/2025 15:00;SUD;-107,077;-;204,097;-47,421;160,539;0;160,539
01/08/2025 15:15;NORD;251,388;+;-181,55;1.772,32;56,571;0;56,571
01/08/2025 15:15;SUD;-95,095;-;181,55;-48,695;179,307;0;179,307
01/08/2025 15:30;SUD;-120,318;-;120,914;-49,487;173,239;0;173,239
01/08/2025 15:30;NORD;219,813;+;-120,914;1.729,42;117,649;-15,149;102,5
01/08/2025 15:45;NORD;210,322;+;-103,515;1.710,30;56,073;0;56,073
01/08/2025 15:45;SUD;-95,778;-;103,515;-51,034;170,472;0;170,472
01/08/2025 16:00;SUD;72,563;+;134,31;-64,647;15,65;0;15,65
01/08/2025 16:00;NORD;159,944;+;-134,31;1.743,74;42,607;0;42,607
01/08/2025 16:15;SUD;-3,737;-;141,469;-67,565;169,35;0;169,35
01/08/2025 16:15;NORD;181,651;+;-141,469;1.766,04;47,159;0;47,159
01/08/2025 16:30;NORD;185,355;+;-187,082;1.758,69;116,519;-13,019;103,5
01/08/2025 16:30;SUD;31,616;+;187,082;-71,488;0;0;0
01/08/2025 16:45;NORD;183,515;+;-175,552;1.699,23;62,71;0;62,71
01/08/2025 16:45;SUD;71,312;+;175,552;-72,866;1,15;0;1,15
01/08/2025 17:00;SUD;194,768;+;158,723;-54,199;7,691;0;7,691
01/08/2025 17:00;NORD;346,836;+;-158,723;1.313,84;21,139;0;21,139
01/08/2025 17:15;SUD;175,502;+;267,067;-51,486;17,845;0;17,845
01/08/2025 17:15;NORD;328,946;+;-267,067;1.518,57;14,565;0;14,565
01/08/2025 17:30;NORD;304,144;+;-435,69;1.725,76;55,041;0;55,041
01/08/2025 17:30;SUD;120,205;+;435,69;-44,54;75,151;0;75,151
01/08/2025 17:45;NORD;267,323;+;-497,84;1.621,52;81,898;0;81,898
01/08/2025 17:45;SUD;106,12;+;497,84;-42,867;82,527;0;82,527
01/08/2025 18:00;SUD;145,554;+;678,91;-140,022;89,532;0;89,532
01/08/2025 18:00;NORD;275,271;+;-678,91;1.743,29;81,907;0;81,907
01/08/2025 18:15;SUD;85,758;+;851,497;-191,644;90,222;0;90,222
01/08/2025 18:15;NORD;253,334;+;-851,497;1.933,80;83,339;0;83,339
01/08/2025 18:30;NORD;188,567;+;-946,905;1.972,18;83,106;0;83,106
01/08/2025 18:30;SUD;51,856;+;946,905;-193,907;85,164;0;85,164
01/08/2025 18:45;NORD;171,52;+;-1.057,95;1.959,63;86,727;0;86,727
01/08/2025 18:45;SUD;-73,259;-;1.057,95;-190,359;249,38;0;249,38
01/08/2025 19:00;SUD;49,915;+;1.100,89;-176,995;90,44;0;90,44
01/08/2025 19:00;NORD;168,345;+;-1.100,89;1.828,03;77,734;0;77,734
01/08/2025 19:15;SUD;43,137;+;1.053,60;-175,624;87,787;0;87,787
01/08/2025 19:15;NORD;118,708;+;-1.053,60;1.895,67;82,565;0;82,565
01/08/2025 19:30;NORD;180,287;+;-1.093,40;1.874,25;78,233;0;78,233
01/08/2025 19:30;SUD;-23,978;-;1.093,40;-176,923;217,302;0;217,302
01/08/2025 19:45;NORD;204,347;+;-1.119,88;1.834,53;76,35;0;76,35
01/08/2025 19:45;SUD;-106,068;-;1.119,88;-175,986;229,206;0;229,206
01/08/2025 20:00;SUD;-7,471;-;1.013,88;-113,086;224,359;0;224,359
01/08/2025 20:00;NORD;247,808;+;-1.013,88;1.606,17;71,468;0;71,468
01/08/2025 20:15;SUD;-20,463;-;1.056,27;-110,533;217,673;0;217,673
01/08/2025 20:15;NORD;279,409;+;-1.056,27;1.585,12;45,637;0;45,637
01/08/2025 20:30;NORD;214,966;+;-1.086,66;1.613,76;66,522;0;66,522
01/08/2025 20:30;SUD;-52,291;-;1.086,66;-109,614;228,379;0;228,379
01/08/2025 20:45;NORD;117,892;+;-1.067,50;1.610,29;118,068;0;118,068
01/08/2025 20:45;SUD;-54,349;-;1.067,50;-108,968;240,255;0;240,255
01/08/2025 21:00;SUD;-60,956;-;1.020,12;-107,339;218,867;0;218,867
01/08/2025 21:00;NORD;55,305;+;-1.020,12;1.536,36;33,517;0;33,517
01/08/2025 21:15;SUD;19,097;+;971,753;-107,037;42,772;0;42,772
01/08/2025 21:15;NORD;191,866;+;-971,753;1.461,85;60,42;0;60,42
01/08/2025 21:30;NORD;144,912;+;-982,475;1.584,33;45,097;0;45,097
01/08/2025 21:30;SUD;71,463;+;982,475;-105,037;69,092;0;69,092
01/08/2025 21:45;NORD;117,207;+;-929,24;1.553,48;62,15;0;62,15
01/08/2025 21:45;SUD;88,598;+;929,24;-101,512;75,022;0;75,022
01/08/2025 22:00;SUD;-89,121;-;992,881;-90,449;216,939;0;216,939
01/08/2025 22:00;NORD;128,721;+;-992,881;1.753,95;61,371;0;61,371
01/08/2025 22:15;SUD;-17,814;-;937,682;-89,08;228,853;0;228,853
01/08/2025 22:15;NORD;149,745;+;-937,682;1.697,27;61,058;0;61,058
01/08/2025 22:30;NORD;166,526;+;-885,894;1.701,22;65,349;0;65,349
01/08/2025 22:30;SUD;41,281;+;885,894;-86,075;81,159;0;81,159
01/08/2025 22:45;NORD;84,866;+;-833,667;1.718,50;86,778;0;86,778
01/08/2025 22:45;SUD;99,13;+;833,667;-73,935;98,503;0;98,503
01/08/2025 23:00;SUD;46,197;+;813,101;-8,901;93,4;0;93,4
01/08/2025 23:00;NORD;79,037;+;-813,101;1.744,86;86,206;0;86,206
01/08/2025 23:15;NORD;119,327;+;-782,897;1.718,37;84,321;0;84,321
01/08/2025 23:15;SUD;67,255;+;782,897;6,483;78,849;0;78,849
01/08/2025 23:30;SUD;46,27;+;777,001;9,471;56,114;0;56,114
01/08/2025 23:30;NORD;165,959;+;-777,001;1.806,85;60,308;0;60,308
01/08/2025 23:45;SUD;42,614;+;732,388;5,85;79,306;0;79,306
01/08/2025 23:45;NORD;120,431;+;-732,388;1.809,87;61,137;0;61,137
02/08/2025 00:00;NORD;87,197;+;-928,121;2.072,33;50,801;0;50,801
02/08/2025 00:00;SUD;-15,251;-;928,121;0,088;187,808;0;187,808
02/08/2025 00:15;NORD;-30,88;-;-919,742;2.111,86;300,067;0;300,067
02/08/2025 00:15;SUD;-1,715;-;919,742;-1,765;181,751;0;181,751
02/08/2025 00:30;NORD;13,375;+;-856,705;2.030,00;75,994;0;75,994
02/08/2025 00:30;SUD;3,994;+;856,705;-1,767;83,229;0;83,229
02/08/2025 00:45;SUD;4,735;+;886,733;1,469;83,527;0;83,527
02/08/2025 00:45;NORD;73,441;+;-886,733;2.003,89;81,286;0;81,286
02/08/2025 01:00;SUD;-45,073;-;860,714;18,519;167,225;0;167,225
02/08/2025 01:00;NORD;13,467;+;-860,714;1.982,88;76,956;0;76,956
02/08/2025 01:15;NORD;17,779;+;-858,307;1.990,82;80,989;0;80,989
02/08/2025 01:15;SUD;-9,931;-;858,307;22,018;169,447;0;169,447
02/08/2025 01:30;NORD;77,006;+;-885,53;1.976,70;79,451;0;79,451
02/08/2025 01:30;SUD;34,297;+;885,53;22,955;92,215;0;92,215
02/08/2025 01:45;NORD;61,233;+;-894,507;1.988,45;80,728;0;80,728
02/08/2025 01:45;SUD;37,608;+;894,507;25,519;82,294;0;82,294
02/08/2025 02:00;NORD;-12,288;-;-951,159;2.105,33;272,04;0;272,04
02/08/2025 02:00;SUD;48,929;+;951,159;40,705;46,7;0;46,7
02/08/2025 02:15;NORD;-0,093;-;-1.011,18;2.112,66;257,119;0;257,119
02/08/2025 02:15;SUD;2,236;+;1.011,18;37,734;46,463;0;46,463
02/08/2025 02:30;NORD;24,037;+;-983,739;2.082,58;115,743;-3,443;112,3
02/08/2025 02:30;SUD;29,503;+;983,739;37,151;46,463;0;46,463
02/08/2025 02:45;NORD;39,708;+;-961,996;2.075,92;115,743;-3,443;112,3
02/08/2025 02:45;SUD;26,647;+;961,996;36,319;46,463;0;46,463
02/08/2025 03:00;NORD;77,732;+;-955,314;2.063,16;81,847;0;81,847
02/08/2025 03:00;SUD;-42,379;-;955,314;42,858;216,976;0;216,976
02/08/2025 03:15;NORD;85,899;+;-920,141;2.042,16;81,299;0;81,299
02/08/2025 03:15;SUD;-6,5;-;920,141;39,953;213,357;0;213,357
02/08/2025 03:30;NORD;94,239;+;-928,474;2.065,49;81,922;0;81,922
02/08/2025 03:30;SUD;-21,7;-;928,474;37,968;210,36;0;210,36
02/08/2025 03:45;SUD;-42,965;-;944,289;39,507;215,486;0;215,486
02/08/2025 03:45;NORD;87,129;+;-944,289;2.068,95;115,748;-8,518;107,23
02/08/2025 04:00;NORD;53,286;+;-953,212;2.017,70;115,763;-10,663;105,1
02/08/2025 04:00;SUD;-74,253;-;953,212;40,995;196,782;0;196,782
02/08/2025 04:15;SUD;-126,331;-;983,879;41,626;194,48;0;194,48
02/08/2025 04:15;NORD;46,17;+;-983,879;2.024,65;115,763;-10,663;105,1
02/08/2025 04:30;NORD;28,365;+;-949,376;2.015,24;115,763;-10,663;105,1
02/08/2025 04:30;SUD;-121,638;-;949,376;40,974;198,531;0;198,531
02/08/2025 04:45;SUD;-119,644;-;937,689;40,517;198,436;0;198,436
02/08/2025 04:45;NORD;70,631;+;-937,689;2.004,68;115,763;-10,663;105,1
02/08/2025 05:00;SUD;-125,478;-;988,768;38,482;207,075;0;207,075
02/08/2025 05:00;NORD;89,509;+;-988,768;2.032,19;115,758;-10,518;105,24
02/08/2025 05:15;NORD;47,452;+;-987,219;2.016,75;115,758;-10,518;105,24
02/08/2025 05:15;SUD;-131,091;-;987,219;39,667;203,585;0;203,585
02/08/2025 05:30;SUD;-113,511;-;939,553;40,145;210,147;0;210,147
02/08/2025 05:30;NORD;19,692;+;-939,553;2.009,30;115,758;-10,518;105,24
02/08/2025 05:45;SUD;-86,547;-;878,183;84,5;212,855;0;212,855
02/08/2025 05:45;NORD;73,369;+;-878,183;1.926,19;60,858;0;60,858
02/08/2025 06:00;SUD;-17,369;-;802,637;94,703;212,901;0;212,901
02/08/2025 06:00;NORD;29,565;+;-802,637;1.973,49;60,49;0;60,49
02/08/2025 06:15;NORD;-5,149;-;-777,604;1.964,61;222,159;0;222,159
02/08/2025 06:15;SUD;1,278;+;777,604;95,197;162,417;-50,117;112,3
02/08/2025 06:30;NORD;13,363;+;-765,932;1.960,95;63,247;0;63,247
02/08/2025 06:30;SUD;2,802;+;765,932;97,852;84,602;0;84,602
02/08/2025 06:45;NORD;68,004;+;-712,416;1.942,79;62,922;0;62,922
02/08/2025 06:45;SUD;27,883;+;712,416;100,187;84,359;0;84,359
02/08/2025 07:00;NORD;55,16;+;-596,994;1.847,28;80,484;0;80,484
02/08/2025 07:00;SUD;49,373;+;596,994;101,625;83,039;0;83,039
02/08/2025 07:15;NORD;46,779;+;-565,637;1.905,87;80,484;0;80,484
02/08/2025 07:15;SUD;102,297;+;565,637;104,855;83,039;0;83,039
02/08/2025 07:30;NORD;123,032;+;-482,105;1.861,10;79,72;0;79,72
02/08/2025 07:30;SUD;134,577;+;482,105;108,184;83,039;0;83,039
02/08/2025 07:45;SUD;158,435;+;421,637;98,279;84,639;0;84,639
02/08/2025 07:45;NORD;187,043;+;-421,637;1.869,60;81,402;0;81,402
02/08/2025 08:00;NORD;182,973;+;-342,433;1.699,56;84,422;0;84,422
02/08/2025 08:00;SUD;16,011;+;342,433;15,129;83,197;0;83,197
02/08/2025 08:15;NORD;123,999;+;-265,937;1.768,47;65,307;0;65,307
02/08/2025 08:15;SUD;113,903;+;265,937;1,427;56,762;0;56,762
02/08/2025 08:30;SUD;132,703;+;175,009;-1,456;63,775;0;63,775
02/08/2025 08:30;NORD;155,432;+;-175,009;1.754,78;74,341;0;74,341
02/08/2025 08:45;SUD;147,073;+;124,474;-3,283;39,869;0;39,869
02/08/2025 08:45;NORD;159,092;+;-124,474;1.746,60;73,569;0;73,569
02/08/2025 09:00;NORD;99,569;+;-30,938;1.432,73;82,211;0;82,211
