Data Riferimento;Macrozona;Sbil aggregato zonale [MWh];Segno aggregato zonale;Scambi [MWh];Estero [MWh];Prezzo base;Componente incentivante;Prezzo di sbilanciamento
01/07/2025 00:00;NORD;152,41;+;-630,283;1.375,95;66,558;0;66,558
01/07/2025 00:00;SUD;37,72;+;630,283;94,058;16,269;0;16,269
01/07/2025 00:15;NORD;13,773;+;-718,33;1.619,20;48,843;0;48,843
01/07/2025 00:15;SUD;-120,435;-;718,33;102,226;203,863;0;203,863
01/07/2025 00:30;SUD;-76,941;-;774,618;98,576;184,279;0;184,279
01/07/2025 00:30;NORD;-22,394;-;-774,618;1.804,83;165,385;0;165,385
01/07/2025 00:45;SUD;-66,131;-;744,512;99,347;175,973;0;175,973
01/07/2025 00:45;NORD;-133,411;-;-744,512;1.873,21;159,495;0;159,495
01/07/2025 01:00;NORD;45,589;+;-722,922;1.713,89;85,449;0;85,449
01/07/2025 01:00;SUD;-103,949;-;722,922;114,854;177,157;0;177,157
01/07/2025 01:15;NORD;-16,826;-;-702,815;1.776,13;155,424;0;155,424
01/07/2025 01:15;SUD;-42,001;-;702,815;119,285;177,46;0;177,46
01/07/2025 01:30;SUD;-40,693;-;704,442;121,376;177,948;0;177,948
01/07/2025 01:30;NORD;22,635;+;-704,442;1.725,51;84,903;0;84,903
01/07/2025 01:45;SUD;-67,321;-;735,97;122,178;184,32;0;184,32
01/07/2025 01:45;NORD;-59,741;-;-735,97;1.850,45;157,523;0;157,523
01/07/2025 02:00;NORD;-78,317;-;-720,792;1.763,13;160,279;0;160,279
01/07/2025 02:00;SUD;22,222;+;720,792;128,136;3,767;0;3,767
01/07/2025 02:15;NORD;-53,455;-;-695,987;1.787,60;156,042;0;156,042
01/07/2025 02:15;SUD;33,545;+;695,987;126,928;4,974;0;4,974
01/07/2025 02:30;SUD;54,432;+;689,02;126,576;6,004;0;6,004
01/07/2025 02:30;NORD;-13,332;-;-689,02;1.767,14;155,514;0;155,514
01/07/2025 02:45;SUD;95,159;+;648,625;128,486;6,04;0;6,04
01/07/2025 02:45;NORD;-75,853;-;-648,625;1.816,98;159,356;0;159,356
01/07/2025 03:00;SUD;99,692;+;668,822;132,54;4,887;0;4,887
01/07/2025 03:00;NORD;-26,726;-;-668,822;1.911,00;196,812;0;196,812
01/07/2025 03:15;NORD;3,039;+;-669,106;1.885,41;84,574;0;84,574
01/07/2025 03:15;SUD;110,937;+;669,106;134,323;4,493;0;4,493
01/07/2025 03:30;NORD;-11,691;-;-665,185;1.924,53;221,955;0;221,955
01/07/2025 03:30;SUD;128,627;+;665,185;135,292;4,975;0;4,975
01/07/2025 03:45;SUD;134,186;+;684,517;135,49;4,609;0;4,609
01/07/2025 03:45;NORD;-21,877;-;-684,517;1.944,71;205,994;0;205,994
01/07/2025 04:00;NORD;-51,936;-;-745,391;2.006,18;174,042;0;174,042
01/07/2025 04:00;SUD;115,99;+;745,391;134,937;4,792;0;4,792
01/07/2025 04:15;NORD;-117,885;-;-697,261;2.012,19;172,966;0;172,966
01/07/2025 04:15;SUD;85,174;+;697,261;134,289;5,214;0;5,214
01/07/2025 04:30;SUD;130,523;+;608,729;133,926;7,719;0;7,719
01/07/2025 04:30;NORD;-71,313;-;-608,729;1.922,56;177,135;0;177,135
01/07/2025 04:45;SUD;120,575;+;631,987;132,498;6,911;0;6,911
01/07/2025 04:45;NORD;-64,889;-;-631,987;1.935,77;230;0;230
01/07/2025 05:00;NORD;35,43;+;-684,914;1.919,20;79,433;0;79,433
01/07/2025 05:00;SUD;41,205;+;684,914;107,481;9,753;0;9,753
01/07/2025 05:15;NORD;87,657;+;-688,444;1.871,08;85,613;0;85,613
01/07/2025 05:15;SUD;59,545;+;688,444;104,219;7,159;0;7,159
01/07/2025 05:30;SUD;23,022;+;695,161;103,117;6,182;0;6,182
01/07/2025 05:30;NORD;120,903;+;-695,161;1.861,62;85,129;0;85,129
01/07/2025 05:45;SUD;29,102;+;594,332;102,624;6,619;0;6,619
01/07/2025 05:45;NORD;165,06;+;-594,332;1.718,80;81,286;0;81,286
01/07/2025 06:00;NORD;150,974;+;-523,542;1.630,02;77,037;0;77,037
01/07/2025 06:00;SUD;-16,737;-;523,542;74,969;196,57;0;196,57
01/07/2025 06:15;NORD;127,344;+;-442,172;1.360,00;81,544;0;81,544
01/07/2025 06:15;SUD;-63,98;-;442,172;73,624;209,827;0;209,827
01/07/2025 06:30;SUD;-26,74;-;413,648;71,024;204,393;0;204,393
01/07/2025 06:30;NORD;117,243;+;-413,648;1.301,02;86,464;0;86,464
01/07/2025 06:45;SUD;-15,09;-;412,672;67,985;198,613;0;198,613
01/07/2025 06:45;NORD;108,184;+;-412,672;1.324,35;73,358;0;73,358
01/07/2025 07:00;NORD;-11,183;-;-328,028;1.178,05;325,401;0;325,401
01/07/2025 07:00;SUD;-26,444;-;328,028;91,339;194,564;0;194,564
01/07/2025 07:15;NORD;-13,72;-;-299,623;1.265,92;367,433;0;367,433
01/07/2025 07:15;SUD;-17,407;-;299,623;96,994;213,99;0;213,99
01/07/2025 07:30;SUD;62,005;+;264,148;95,461;22,474;0;22,474
01/07/2025 07:30;NORD;4,798;+;-264,148;1.360,70;53,37;0;53,37
01/07/2025 07:45;SUD;142,213;+;229,309;93,53;29,487;0;29,487
01/07/2025 07:45;NORD;9,64;+;-229,309;1.450,34;51,542;0;51,542
01/07/2025 08:00;NORD;69,561;+;-201,963;1.482,15;39,937;0;39,937
01/07/2025 08:00;SUD;142,358;+;201,963;92,774;25,611;0;25,611
01/07/2025 08:15;NORD;39,308;+;-168,802;1.617,16;35;0;35
01/07/2025 08:15;SUD;152,083;+;168,802;90,383;20,17;0;20,17
01/07/2025 08:30;SUD;271,045;+;139,318;88,419;23,884;0;23,884
01/07/2025 08:30;NORD;22,113;+;-139,318;1.733,73;38,72;0;38,72
01/07/2025 08:45;SUD;263,366;+;95,716;86,647;25,105;0;25,105
01/07/2025 08:45;NORD;107,556;+;-95,716;1.757,77;51,272;0;51,272
01/07/2025 09:00;NORD;-51,388;-;-112,655;1.567,56;307,851;0;307,851
01/07/2025 09:00;SUD;192,65;+;112,655;74,643;13,568;0;13,568
01/07/2025 09:15;NORD;-38,521;-;-70,753;1.485,05;342,587;0;342,587
01/07/2025 09:15;SUD;182,311;+;70,753;71,683;10,132;0;10,132
01/07/2025 09:30;SUD;188,713;+;2,045;70,913;8,452;0;8,452
01/07/2025 09:30;NORD;99,912;+;-2,045;1.400,93;16,73;0;16,73
01/07/2025 09:45;SUD;212,28;+;-32,196;70,716;13,872;0;13,872
01/07/2025 09:45;NORD;119,838;+;32,196;1.429,10;26,936;0;26,936
01/07/2025 10:00;NORD;-54,071;-;17,448;1.441,40;324,539;0;324,539
01/07/2025 10:00;SUD;155,289;+;-17,448;83,591;8,44;0;8,44
01/07/2025 10:15;NORD;-93,962;-;-5,862;1.378,45;346,799;0;346,799
01/07/2025 10:15;SUD;144,079;+;5,862;84,088;3,756;0;3,756
01/07/2025 10:30;SUD;139,415;+;52,059;87,245;13,875;0;13,875
01/07/2025 10:30;NORD;29,96;+;-52,059;1.403,54;20,184;0;20,184
01/07/2025 10:45;SUD;116,044;+;30,301;87,741;17,599;0;17,599
01/07/2025 10:45;NORD;58,108;+;-30,301;1.415,34;30,759;0;30,759
01/07/2025 11:00;SUD;116,443;+;-8,822;88,08;20,221;0;20,221
01/07/2025 11:00;NORD;156,128;+;8,822;1.327,37;25,943;0;25,943
01/07/2025 11:15;SUD;100,142;+;35,496;88,859;51,027;0;51,027
