Data Riferimento;Macrozona;Sbil aggregato zonale [MWh];Segno aggregato zonale;Scambi [MWh];Estero [MWh];Prezzo base;Componente incentivante;Prezzo di sbilanciamento
01/03/2025 00:00;NORD;105,728;+;-448,158;1.691,42;92,666;0;92,666
01/03/2025 00:00;SUD;212,196;+;448,158;40,706;74,304;0;74,304
01/03/2025 00:15;NORD;-74,07;-;-641,497;1.877,52;216,773;0;216,773
01/03/2025 00:15;SUD;-12,35;-;641,497;50,617;222,496;0;222,496
01/03/2025 00:30;SUD;4,828;+;657,107;50,145;0;0;0
01/03/2025 00:30;NORD;-9,246;-;-657,107;1.855,82;236,187;0;236,187
01/03/2025 00:45;SUD;-15,293;-;626,726;50,467;184,358;0;184,358
01/03/2025 00:45;NORD;38,511;+;-626,726;1.829,83;83,09;0;83,09
01/03/2025 01:00;NORD;-0,505;-;-666,501;1.811,63;227,415;0;227,415
01/03/2025 01:00;SUD;1,817;+;666,501;62,893;41,566;0;41,566
01/03/2025 01:15;NORD;-67,688;-;-653,542;1.873,17;226,423;0;226,423
01/03/2025 01:15;SUD;-28,629;-;653,542;67,519;206,784;0;206,784
01/03/2025 01:30;SUD;5,728;+;637,923;69,009;32,384;0;32,384
01/03/2025 01:30;NORD;-15,808;-;-637,923;1.816,53;226,564;0;226,564
01/03/2025 01:45;SUD;4,135;+;607,782;70,074;82,459;0;82,459
01/03/2025 01:45;NORD;57,259;+;-607,782;1.770,38;94,467;0;94,467
01/03/2025 02:00;NORD;-21,208;-;-580,393;1.785,88;195,082;0;195,082
01/03/2025 02:00;SUD;-63,351;-;580,393;75,51;184,358;0;184,358
01/03/2025 02:15;NORD;-47,033;-;-577,506;1.823,32;195,458;0;195,458
01/03/2025 02:15;SUD;-52,953;-;577,506;77,529;190,1;0;190,1
01/03/2025 02:30;SUD;-47,47;-;569,483;79,078;190,1;0;190,1
01/03/2025 02:30;NORD;10,952;+;-569,483;1.814,03;130,356;-8,766;121,59
01/03/2025 02:45;SUD;-61,93;-;561,755;80,137;190,1;0;190,1
01/03/2025 02:45;NORD;10,131;+;-561,755;1.850,65;128,418;-6,828;121,59
01/03/2025 03:00;SUD;-20,449;-;518,407;86,54;184,358;0;184,358
01/03/2025 03:00;NORD;-8,296;-;-518,407;1.716,01;195,216;0;195,216
01/03/2025 03:15;NORD;24,681;+;-526,205;1.718,08;93,618;0;93,618
01/03/2025 03:15;SUD;-31,938;-;526,205;88,3;190,1;0;190,1
01/03/2025 03:30;NORD;2,602;+;-511,678;1.732,88;93,612;0;93,612
01/03/2025 03:30;SUD;-19,668;-;511,678;89,101;190,1;0;190,1
01/03/2025 03:45;SUD;6,785;+;486,686;89,249;99,383;0;99,383
01/03/2025 03:45;NORD;11,185;+;-486,686;1.706,27;95;0;95
01/03/2025 04:00;NORD;-5,586;-;-492,667;1.715,32;197,473;0;197,473
01/03/2025 04:00;SUD;5,05;+;492,667;87,997;131,185;-11,185;120
01/03/2025 04:15;NORD;-84,287;-;-512,992;1.777,13;240,013;0;240,013
01/03/2025 04:15;SUD;-40,638;-;512,992;87,518;177,29;0;177,29
01/03/2025 04:30;SUD;-63,328;-;526,173;87,888;174,212;0;174,212
01/03/2025 04:30;NORD;-107,952;-;-526,173;1.791,65;198,277;0;198,277
01/03/2025 04:45;SUD;-46,26;-;517,64;82,379;174,488;0;174,488
01/03/2025 04:45;NORD;-119,139;-;-517,64;1.777,83;241,865;0;241,865
01/03/2025 05:00;NORD;-50,45;-;-562,166;1.729,99;189,507;0;189,507
01/03/2025 05:00;SUD;-30,86;-;562,166;50,623;184,358;0;184,358
01/03/2025 05:15;NORD;-99,363;-;-576,436;1.792,18;203,139;0;203,139
01/03/2025 05:15;SUD;-33,161;-;576,436;46,65;184,358;0;184,358
01/03/2025 05:30;SUD;-39,595;-;579,763;45,232;184,358;0;184,358
01/03/2025 05:30;NORD;-143,272;-;-579,763;1.801,93;189,003;0;189,003
01/03/2025 05:45;SUD;-24,397;-;590,01;16,515;184,358;0;184,358
01/03/2025 05:45;NORD;-71,472;-;-590,01;1.759,06;179,839;0;179,839
01/03/2025 06:00;NORD;-52,061;-;-696,43;1.806,65;290,181;0;290,181
01/03/2025 06:00;SUD;-42,737;-;696,43;-121,585;260;0;260
01/03/2025 06:15;NORD;-116,323;-;-766,01;1.919,07;215,83;0;215,83
01/03/2025 06:15;SUD;-83,583;-;766,01;-158,28;173,553;0;173,553
01/03/2025 06:30;SUD;-95,508;-;741,72;-155,837;245,434;0;245,434
01/03/2025 06:30;NORD;-112,614;-;-741,72;1.813,85;228,392;0;228,392
01/03/2025 06:45;SUD;-85,523;-;715,288;-157,996;265,676;0;265,676
01/03/2025 06:45;NORD;-106,587;-;-715,288;1.801,60;227,044;0;227,044
01/03/2025 07:00;NORD;-31,482;-;-699,888;1.751,36;224,589;0;224,589
01/03/2025 07:00;SUD;-9,52;-;699,888;-180,505;248,714;0;248,714
01/03/2025 07:15;NORD;-197,24;-;-685,226;1.889,67;239,2;0;239,2
01/03/2025 07:15;SUD;-4,818;-;685,226;-194,591;253,148;0;253,148
01/03/2025 07:30;SUD;-26,589;-;650,917;-194,381;259,576;0;259,576
01/03/2025 07:30;NORD;-154,689;-;-650,917;1.772,64;247,216;0;247,216
