Data Riferimento;Macrozona;Sbil aggregato zonale [MWh];Segno aggregato zonale;Scambi [MWh];Estero [MWh];Prezzo base;Componente incentivante;Prezzo di sbilanciamento
01/06/2025 00:00;NORD;27,195;+;-509,897;868,793;78,987;0;78,987
01/06/2025 00:00;SUD;-96,709;-;509,897;83,659;230,853;0;230,853
01/06/2025 00:15;NORD;4,497;+;-494,873;863,151;120,616;0;120,616
01/06/2025 00:15;SUD;-74,441;-;494,873;90,046;231,966;0;231,966
01/06/2025 00:30;SUD;-27,114;-;491,003;94,185;232,602;0;232,602
01/06/2025 00:30;NORD;27,932;+;-491,003;831,932;36,135;0;36,135
01/06/2025 00:45;SUD;-17,112;-;478,488;97,999;232,603;0;232,603
01/06/2025 00:45;NORD;-15,387;-;-478,488;884,512;233,842;0;233,842
01/06/2025 01:00;NORD;-95,152;-;-533,06;864,417;224,775;0;224,775
01/06/2025 01:00;SUD;19,827;+;533,06;97,631;128,311;-3,871;124,44
01/06/2025 01:15;NORD;-12,536;-;-591,177;796,241;219,726;0;219,726
01/06/2025 01:15;SUD;-47,518;-;591,177;96,11;228,117;0;228,117
01/06/2025 01:30;SUD;-39,054;-;546,437;95,012;228,981;0;228,981
01/06/2025 01:30;NORD;3,751;+;-546,437;814,857;114,664;0;114,664
01/06/2025 01:45;SUD;-14,452;-;526,021;93,043;231,303;0;231,303
01/06/2025 01:45;NORD;-4,674;-;-526,021;805,002;232,37;0;232,37
01/06/2025 02:00;NORD;-66,707;-;-523,399;823,322;238,071;0;238,071
01/06/2025 02:00;SUD;-18,822;-;523,399;96,887;232,152;0;232,152
01/06/2025 02:15;NORD;-36,308;-;-560,957;776,837;232,36;0;232,36
01/06/2025 02:15;SUD;-3,543;-;560,957;98,875;232,909;0;232,909
01/06/2025 02:30;SUD;-11,151;-;574,946;101,584;232,829;0;232,829
01/06/2025 02:30;NORD;-40,969;-;-574,946;816,666;232,66;0;232,66
01/06/2025 02:45;SUD;-20,611;-;574,626;102,857;230,441;0;230,441
01/06/2025 02:45;NORD;-33,041;-;-574,626;803,574;236,857;0;236,857
01/06/2025 03:00;NORD;6,205;+;-573,382;777,897;50,886;0;50,886
01/06/2025 03:00;SUD;-10,553;-;573,382;103,036;224,536;0;224,536
01/06/2025 03:15;NORD;-27,566;-;-626,563;816,828;220,192;0;220,192
01/06/2025 03:15;SUD;-10,734;-;626,563;103,786;210,426;0;210,426
01/06/2025 03:30;SUD;-25,335;-;636,95;104,53;206,734;0;206,734
01/06/2025 03:30;NORD;-33,668;-;-636,95;818,942;222,021;0;222,021
01/06/2025 03:45;SUD;-32,106;-;632,956;104,825;205,023;0;205,023
01/06/2025 03:45;NORD;49,409;+;-632,956;744,989;59,119;0;59,119
01/06/2025 04:00;NORD;-26,265;-;-608,443;800,625;216,138;0;216,138
01/06/2025 04:00;SUD;-9,854;-;608,443;104,947;209,002;0;209,002
01/06/2025 04:15;NORD;-9,865;-;-616,268;747,214;209,928;0;209,928
01/06/2025 04:15;SUD;-16,307;-;616,268;105,023;208,18;0;208,18
01/06/2025 04:30;SUD;-29,68;-;638,781;104,77;208,22;0;208,22
01/06/2025 04:30;NORD;9,927;+;-638,781;766,057;66,893;0;66,893
01/06/2025 04:45;SUD;-38,222;-;603,187;104,047;210,48;0;210,48
01/06/2025 04:45;NORD;17,186;+;-603,187;766,225;66,894;0;66,894
01/06/2025 05:00;NORD;-16,81;-;-538,839;776,398;216,122;0;216,122
01/06/2025 05:00;SUD;-70,406;-;538,839;100,613;215,275;0;215,275
01/06/2025 05:15;NORD;10,361;+;-536,359;749,569;66,879;0;66,879
01/06/2025 05:15;SUD;-49,957;-;536,359;99,669;219,582;0;219,582
01/06/2025 05:30;SUD;-14,102;-;539,759;97,64;223,234;0;223,234
01/06/2025 05:30;NORD;87,392;+;-539,759;787,605;15,18;0;15,18
01/06/2025 05:45;SUD;7,895;+;560,563;96,139;109,75;0;109,75
01/06/2025 05:45;NORD;100,395;+;-560,563;755,394;12,337;0;12,337
01/06/2025 06:00;NORD;-43,578;-;-603,267;809,669;208,989;0;208,989
01/06/2025 06:00;SUD;-142,465;-;603,267;90,162;222,247;0;222,247
01/06/2025 06:15;NORD;64,137;+;-612,243;714,852;69,074;0;69,074
01/06/2025 06:15;SUD;-138,736;-;612,243;88,743;223,279;0;223,279
01/06/2025 06:30;SUD;-72,148;-;536,759;89,964;223,529;0;223,529
