MTU (CET/CEST);Generation - Solar [MW] Day Ahead/ Italy (IT);Generation - Solar [MW] Intraday / Italy (IT);Generation - Solar [MW] Current / Italy (IT);Generation - Wind Offshore [MW] Day Ahead/ Italy (IT);Generation - Wind Offshore [MW] Intraday / Italy (IT);Generation - Wind Offshore [MW] Current / Italy (IT);Generation - Wind Onshore [MW] Day Ahead/ Italy (IT);Generation - Wind Onshore [MW] Intraday / Italy (IT);Generation - Wind Onshore [MW] Current / Italy (IT)
01.01.2025 13:45 - 01.01.2025 14:00;8036;N/A;8092;n/e;n/e;n/e;390;384;n/e
01.01.2025 14:00 - 01.01.2025 14:15;7477;N/A;7545;n/e;n/e;n/e;410;391;n/e
01.01.2025 14:15 - 01.01.2025 14:30;6623;N/A;6736;n/e;n/e;n/e;415;416;n/e
01.01.2025 14:30 - 01.01.2025 14:45;5987;N/A;6060;n/e;n/e;n/e;419;382;n/e
01.01.2025 14:45 - 01.01.2025 15:00;5088;N/A;5128;n/e;n/e;n/e;452;382;n/e
01.01.2025 15:00 - 01.01.2025 15:15;4031;N/A;4074;n/e;n/e;n/e;490;477;n/e
01.01.2025 15:15 - 01.01.2025 15:30;3314;N/A;3326;n/e;n/e;n/e;432;538;n/e
01.01.2025 15:30 - 01.01.2025 15:45;2423;N/A;2376;n/e;n/e;n/e;457;481;n/e
01.01.2025 15:45 - 01.01.2025 16:00;1545;N/A;1511;n/e;n/e;n/e;440;419;n/e
01.01.2025 16:00 - 01.01.2025 16:15;840;N/A;890;n/e;n/e;n/e;414;400;n/e
01.01.2025 16:15 - 01.01.2025 16:30;383;N/A;372;n/e;n/e;n/e;436;425;n/e
01.01.2025 16:30 - 01.01.2025 16:45;94;N/A;92;n/e;n/e;n/e;431;408;n/e
01.01.2025 16:45 - 01.01.2025 17:00;7;N/A;6;n/e;n/e;n/e;400;386;n/e
01.01.2025 17:00 - 01.01.2025 17:15;4;N/A;3;n/e;n/e;n/e;431;411;n/e
01.01.2025 17:15 - 01.01.2025 17:30;0;N/A;0;n/e;n/e;n/e;440;458;n/e
01.01.2025 17:30 - 01.01.2025 17:45;0;N/A;0;n/e;n/e;n/e;475;468;n/e
01.01.2025 17:45 - 01.01.2025 18:00;0;N/A;0;n/e;n/e;n/e;475;481;n/e
01.01.2025 18:00 - 01.01.2025 18:15;0;N/A;0;n/e;n/e;n/e;461;493;n/e
01.01.2025 18:15 - 01.01.2025 18:30;0;N/A;0;n/e;n/e;n/e;466;466;n/e
01.01.2025 18:30 - 01.01.2025 18:45;0;N/A;0;n/e;n/e;n/e;469;497;n/e
01.01.2025 18:45 - 01.01.2025 19:00;0;N/A;0;n/e;n/e;n/e;472;435;n/e
01.01.2025 19:00 - 01.01.2025 19:15;0;N/A;0;n/e;n/e;n/e;490;483;n/e
01.01.2025 19:15 - 01.01.2025 19:30;0;N/A;0;n/e;n/e;n/e;452;499;n/e
01.01.2025 19:30 - 01.01.2025 19:45;0;N/A;0;n/e;n/e;n/e;433;494;n/e
01.01.2025 19:45 - 01.01.2025 20:00;0;N/A;0;n/e;n/e;n/e;473;477;n/e
01.01.2025 20:00 - 01.01.2025 20:15;0;N/A;0;n/e;n/e;n/e;441;451;n/e
01.01.2025 20:15 - 01.01.2025 20:30;0;N/A;0;n/e;n/e;n/e;444;460;n/e
01.01.2025 20:30 - 01.01.2025 20:45;0;N/A;0;n/e;n/e;n/e;591;471;n/e
01.01.2025 20:45 - 01.01.2025 21:00;0;N/A;0;n/e;n/e;n/e;636;502;n/e
01.01.2025 21:00 - 01.01.2025 21:15;0;N/A;0;n/e;n/e;n/e;668;593;n/e
01.01.2025 21:15 - 01.01.2025 21:30;0;N/A;0;n/e;n/e;n/e;681;648;n/e
01.01.2025 21:30 - 01.01.2025 21:45;0;N/A;0;n/e;n/e;n/e;656;614;n/e
01.01.2025 21:45 - 01.01.2025 22:00;0;N/A;0;n/e;n/e;n/e;621;616;n/e
01.01.2025 22:00 - 01.01.2025 22:15;0;N/A;0;n/e;n/e;n/e;599;614;n/e
01.01.2025 22:15 - 01.01.2025 22:30;0;N/A;0;n/e;n/e;n/e;624;588;n/e
01.01.2025 22:30 - 01.01.2025 22:45;0;N/A;0;n/e;n/e;n/e;659;627;n/e
01.01.2025 22:45 - 01.01.2025 23:00;0;N/A;0;n/e;n/e;n/e;666;673;n/e
01.01.2025 23:00 - 01.01.2025 23:15;0;N/A;0;n/e;n/e;n/e;693;722;n/e
01.01.2025 23:15 - 01.01.2025 23:30;0;N/A;0;n/e;n/e;n/e;777;749;n/e
01.01.2025 23:30 - 01.01.2025 23:45;0;N/A;0;n/e;n/e;n/e;766;797;n/e
01.01.2025 23:45 - 02.01.2025 00:00;0;N/A;0;n/e;n/e;n/e;763;831;n/e
02.01.2025 00:00 - 02.01.2025 00:15;0;N/A;0;n/e;n/e;n/e;608;608;n/e
02.01.2025 00:15 - 02.01.2025 00:30;0;N/A;0;n/e;n/e;n/e;616;616;n/e
02.01.2025 00:30 - 02.01.2025 00:45;0;N/A;0;n/e;n/e;n/e;613;613;n/e
02.01.2025 00:45 - 02.01.2025 01:00;0;N/A;0;n/e;n/e;n/e;619;619;n/e
02.01.2025 01:00 - 02.01.2025 01:15;0;N/A;0;n/e;n/e;n/e;609;609;n/e
02.01.2025 01:15 - 02.01.2025 01:30;0;N/A;0;n/e;n/e;n/e;602;602;n/e
02.01.2025 01:30 - 02.01.2025 01:45;0;N/A;0;n/e;n/e;n/e;600;600;n/e
02.01.2025 01:45 - 02.01.2025 02:00;0;N/A;0;n/e;n/e;n/e;590;590;n/e
02.01.2025 02:00 - 02.01.2025 02:15;0;N/A;0;n/e;n/e;n/e;611;611;n/e
02.01.2025 02:15 - 02.01.2025 02:30;0;N/A;0;n/e;n/e;n/e;636;636;n/e
02.01.2025 02:30 - 02.01.2025 02:45;0;N/A;0;n/e;n/e;n/e;636;636;n/e
02.01.2025 02:45 - 02.01.2025 03:00;0;N/A;0;n/e;n/e;n/e;669;669;n/e
02.01.2025 03:00 - 02.01.2025 03:15;0;N/A;0;n/e;n/e;n/e;697;697;n/e
02.01.2025 03:15 - 02.01.2025 03:30;0;N/A;0;n/e;n/e;n/e;689;689;n/e
02.01.2025 03:30 - 02.01.2025 03:45;0;N/A;0;n/e;n/e;n/e;710;710;n/e
02.01.2025 03:45 - 02.01.2025 04:00;0;N/A;0;n/e;n/e;n/e;716;716;n/e
02.01.2025 04:00 - 02.01.2025 04:15;0;N/A;0;n/e;n/e;n/e;703;745;n/e
02.01.2025 04:15 - 02.01.2025 04:30;0;N/A;0;n/e;n/e;n/e;716;769;n/e
02.01.2025 04:30 - 02.01.2025 04:45;0;N/A;0;n/e;n/e;n/e;711;780;n/e
02.01.2025 04:45 - 02.01.2025 05:00;0;N/A;0;n/e;n/e;n/e;737;783;n/e
