MTU (CET/CEST);Generation - Solar [MW] Day Ahead/ Italy (IT);Generation - Solar [MW] Intraday / Italy (IT);Generation - Solar [MW] Current / Italy (IT);Generation - Wind Offshore [MW] Day Ahead/ Italy (IT);Generation - Wind Offshore [MW] Intraday / Italy (IT);Generation - Wind Offshore [MW] Current / Italy (IT);Generation - Wind Onshore [MW] Day Ahead/ Italy (IT);Generation - Wind Onshore [MW] Intraday / Italy (IT);Generation - Wind Onshore [MW] Current / Italy (IT)
06.03.2025 08:00 - 06.03.2025 08:15;4769;4770;4770;n/e;n/e;n/e;1460;1490;n/e
06.03.2025 08:15 - 06.03.2025 08:30;6035;6082;6082;n/e;n/e;n/e;1517;1658;n/e
06.03.2025 08:30 - 06.03.2025 08:45;7368;7347;7347;n/e;n/e;n/e;1409;1584;n/e
06.03.2025 08:45 - 06.03.2025 09:00;8618;8559;8559;n/e;n/e;n/e;1575;1525;n/e
06.03.2025 09:00 - 06.03.2025 09:15;9722;9553;9553;n/e;n/e;n/e;1622;1615;n/e
06.03.2025 09:15 - 06.03.2025 09:30;10585;10337;10337;n/e;n/e;n/e;1663;1604;n/e
06.03.2025 09:30 - 06.03.2025 09:45;11444;11273;11273;n/e;n/e;n/e;1759;1639;n/e
06.03.2025 09:45 - 06.03.2025 10:00;12190;12046;12046;n/e;n/e;n/e;1631;1527;n/e
06.03.2025 10:00 - 06.03.2025 10:15;12651;12517;12517;n/e;n/e;n/e;1817;1576;n/e
06.03.2025 10:15 - 06.03.2025 10:30;13157;13045;13045;n/e;n/e;n/e;1879;1769;n/e
06.03.2025 10:30 - 06.03.2025 10:45;13628;13428;13428;n/e;n/e;n/e;2076;1954;n/e
06.03.2025 10:45 - 06.03.2025 11:00;14077;13950;13950;n/e;n/e;n/e;2134;2094;n/e
06.03.2025 11:00 - 06.03.2025 11:15;14446;14263;14263;n/e;n/e;n/e;2106;2098;n/e
06.03.2025 11:15 - 06.03.2025 11:30;14708;14543;14543;n/e;n/e;n/e;2129;2228;n/e
06.03.2025 11:30 - 06.03.2025 11:45;14897;14736;14736;n/e;n/e;n/e;2179;2303;n/e
06.03.2025 11:45 - 06.03.2025 12:00;15117;14947;14947;n/e;n/e;n/e;2219;2196;n/e
06.03.2025 12:00 - 06.03.2025 12:15;15225;14996;14996;n/e;n/e;n/e;2353;2200;n/e
06.03.2025 12:15 - 06.03.2025 12:30;15209;14958;14958;n/e;n/e;n/e;2392;2231;n/e
06.03.2025 12:30 - 06.03.2025 12:45;15197;14919;14919;n/e;n/e;n/e;2425;2281;n/e
06.03.2025 12:45 - 06.03.2025 13:00;15136;14813;14813;n/e;n/e;n/e;2441;2353;n/e
06.03.2025 13:00 - 06.03.2025 13:15;14919;14654;14654;n/e;n/e;n/e;2488;2443;n/e
06.03.2025 13:15 - 06.03.2025 13:30;14747;14476;14476;n/e;n/e;n/e;2561;2539;n/e
06.03.2025 13:30 - 06.03.2025 13:45;14492;14184;14184;n/e;n/e;n/e;2641;2567;n/e
06.03.2025 13:45 - 06.03.2025 14:00;14164;13819;13819;n/e;n/e;n/e;2684;2593;n/e
06.03.2025 14:00 - 06.03.2025 14:15;13662;13377;13377;n/e;n/e;n/e;2708;2579;n/e
06.03.2025 14:15 - 06.03.2025 14:30;13213;12819;12819;n/e;n/e;n/e;2704;2603;n/e
06.03.2025 14:30 - 06.03.2025 14:45;12739;12304;12304;n/e;n/e;n/e;2707;2627;n/e
06.03.2025 14:45 - 06.03.2025 15:00;12161;11746;11746;n/e;n/e;n/e;2713;2636;n/e
06.03.2025 15:00 - 06.03.2025 15:15;11362;10982;10982;n/e;n/e;n/e;2637;2679;n/e
06.03.2025 15:15 - 06.03.2025 15:30;10441;10079;10079;n/e;n/e;n/e;2634;2657;n/e
06.03.2025 15:30 - 06.03.2025 15:45;9517;9154;9154;n/e;n/e;n/e;2580;2692;n/e
06.03.2025 15:45 - 06.03.2025 16:00;8682;8296;8296;n/e;n/e;n/e;2577;2611;n/e
06.03.2025 16:00 - 06.03.2025 16:15;7550;7194;7194;n/e;n/e;n/e;2563;2543;n/e
06.03.2025 16:15 - 06.03.2025 16:30;6146;5902;5902;n/e;n/e;n/e;2611;2607;n/e
06.03.2025 16:30 - 06.03.2025 16:45;5005;4808;4808;n/e;n/e;n/e;2655;2644;n/e
06.03.2025 16:45 - 06.03.2025 17:00;3756;3557;3557;n/e;n/e;n/e;2513;2676;n/e
06.03.2025 17:00 - 06.03.2025 17:15;2532;2326;2326;n/e;n/e;n/e;2588;2436;n/e
06.03.2025 17:15 - 06.03.2025 17:30;1364;1312;1312;n/e;n/e;n/e;2489;2412;n/e
06.03.2025 17:30 - 06.03.2025 17:45;636;603;603;n/e;n/e;n/e;2152;2162;n/e
06.03.2025 17:45 - 06.03.2025 18:00;155;151;151;n/e;n/e;n/e;1992;1999;n/e
06.03.2025 18:00 - 06.03.2025 18:15;21;18;18;n/e;n/e;n/e;1849;2037;n/e
06.03.2025 18:15 - 06.03.2025 18:30;0;0;0;n/e;n/e;n/e;1934;1934;n/e
06.03.2025 18:30 - 06.03.2025 18:45;0;0;0;n/e;n/e;n/e;1956;1999;n/e
06.03.2025 18:45 - 06.03.2025 19:00;0;0;0;n/e;n/e;n/e;1825;2035;n/e
06.03.2025 19:00 - 06.03.2025 19:15;0;0;0;n/e;n/e;n/e;1781;2048;n/e
06.03.2025 19:15 - 06.03.2025 19:30;0;0;0;n/e;n/e;n/e;1764;1914;n/e
06.03.2025 19:30 - 06.03.2025 19:45;0;0;0;n/e;n/e;n/e;1828;1792;n/e
06.03.2025 19:45 - 06.03.2025 20:00;0;0;0;n/e;n/e;n/e;1904;1820;n/e
06.03.2025 20:00 - 06.03.2025 20:15;0;0;0;n/e;n/e;n/e;1891;1862;n/e
06.03.2025 20:15 - 06.03.2025 20:30;0;0;0;n/e;n/e;n/e;1877;1853;n/e
06.03.2025 20:30 - 06.03.2025 20:45;0;0;0;n/e;n/e;n/e;1879;1920;n/e
06.03.2025 20:45 - 06.03.2025 21:00;0;0;0;n/e;n/e;n/e;1834;2036;n/e
06.03.2025 21:00 - 06.03.2025 21:15;0;0;0;n/e;n/e;n/e;1860;2121;n/e
06.03.2025 21:15 - 06.03.2025 21:30;0;0;0;n/e;n/e;n/e;1831;2115;n/e
06.03.2025 21:30 - 06.03.2025 21:45;0;0;0;n/e;n/e;n/e;1801;2141;n/e
06.03.2025 21:45 - 06.03.2025 22:00;0;0;0;n/e;n/e;n/e;1809;2224;n/e
06.03.2025 22:00 - 06.03.2025 22:15;0;0;0;n/e;n/e;n/e;1830;2131;n/e
06.03.2025 22:15 - 06.03.2025 22:30;0;0;0;n/e;n/e;n/e;1884;2111;n/e
06.03.2025 22:30 - 06.03.2025 22:45;0;0;0;n/e;n/e;n/e;1845;2120;n/e
06.03.2025 22:45 - 06.03.2025 23:00;0;0;0;n/e;n/e;n/e;1846;2096;n/e
06.03.2025 23:00 - 06.03.2025 23:15;0;0;0;n/e;n/e;n/e;1839;2128;n/e
06.03.2025 23:15 - 06.03.2025 23:30;0;0;0;n/e;n/e;n/e;1886;2126;n/e
06.03.2025 23:30 - 06.03.2025 23:45;0;0;0;n/e;n/e;n/e;1915;2111;n/e
06.03.2025 23:45 - 07.03.2025 00:00;0;0;0;n/e;n/e;n/e;1909;2122;n/e
07.03.2025 00:00 - 07.03.2025 00:15;0;0;0;n/e;n/e;n/e;2013;2013;n/e
07.03.2025 00:15 - 07.03.2025 00:30;0;0;0;n/e;n/e;n/e;2006;2006;n/e
07.03.2025 00:30 - 07.03.2025 00:45;0;0;0;n/e;n/e;n/e;1993;1993;n/e
07.03.2025 00:45 - 07.03.2025 01:00;0;0;0;n/e;n/e;n/e;1978;1978;n/e
07.03.2025 01:00 - 07.03.2025 01:15;0;0;0;n/e;n/e;n/e;2030;2030;n/e
07.03.2025 01:15 - 07.03.2025 01:30;0;0;0;n/e;n/e;n/e;2041;2041;n/e
07.03.2025 01:30 - 07.03.2025 01:45;0;0;0;n/e;n/e;n/e;2014;2014;n/e
07.03.2025 01:45 - 07.03.2025 02:00;0;0;0;n/e;n/e;n/e;1997;1997;n/e
07.03.2025 02:00 - 07.03.2025 02:15;0;0;0;n/e;n/e;n/e;1951;1951;n/e
07.03.2025 02:15 - 07.03.2025 02:30;0;0;0;n/e;n/e;n/e;1917;1917;n/e
07.03.2025 02:30 - 07.03.2025 02:45;0;0;0;n/e;n/e;n/e;1951;1951;n/e
07.03.2025 02:45 - 07.03.2025 03:00;0;0;0;n/e;n/e;n/e;2014;2014;n/e
07.03.2025 03:00 - 07.03.2025 03:15;0;0;0;n/e;n/e;n/e;2062;2062;n/e
07.03.2025 03:15 - 07.03.2025 03:30;0;0;0;n/e;n/e;n/e;2118;2118;n/e
07.03.2025 03:30 - 07.03.2025 03:45;0;0;0;n/e;n/e;n/e;2102;2102;n/e
07.03.2025 03:45 - 07.03.2025 04:00;0;0;0;n/e;n/e;n/e;2070;2070;n/e
07.03.2025 04:00 - 07.03.2025 04:15;0;0;0;n/e;n/e;n/e;2079;2079;n/e
07.03.2025 04:15 - 07.03.2025 04:30;0;0;0;n/e;n/e;n/e;2108;2108;n/e
07.03.2025 04:30 - 07.03.2025 04:45;0;0;0;n/e;n/e;n/e;2066;2066;n/e
07.03.2025 04:45 - 07.03.2025 05:00;0;0;0;n/e;n/e;n/e;2056;2056;n/e
07.03.2025 05:00 - 07.03.2025 05:15;0;0;0;n/e;n/e;n/e;2028;2028;n/e
07.03.2025 05:15 - 07.03.2025 05:30;0;0;0;n/e;n/e;n/e;2103;2103;n/e
07.03.2025 05:30 - 07.03.2025 05:45;0;0;0;n/e;n/e;n/e;2142;2142;n/e
07.03.2025 05:45 - 07.03.2025 06:00;0;0;0;n/e;n/e;n/e;2183;2183;n/e
07.03.2025 06:00 - 07.03.2025 06:15;0;0;0;n/e;n/e;n/e;2150;2150;n/e
07.03.2025 06:15 - 07.03.2025 06:30;1;1;1;n/e;n/e;n/e;2118;2118;n/e
07.03.2025 06:30 - 07.03.2025 06:45;28;36;36;n/e;n/e;n/e;2158;2158;n/e
07.03.2025 06:45 - 07.03.2025 07:00;259;223;223;n/e;n/e;n/e;2114;2114;n/e
07.03.2025 07:00 - 07.03.2025 07:15;678;620;620;n/e;n/e;n/e;2076;2076;n/e
07.03.2025 07:15 - 07.03.2025 07:30;1357;1324;1324;n/e;n/e;n/e;2040;2040;n/e
07.03.2025 07:30 - 07.03.2025 07:45;2174;2096;2096;n/e;n/e;n/e;2040;2040;n/e
07.03.2025 07:45 - 07.03.2025 08:00;3012;2957;2957;n/e;n/e;n/e;2036;2036;n/e
07.03.2025 08:00 - 07.03.2025 08:15;4016;4013;4013;n/e;n/e;n/e;2074;2000;n/e
07.03.2025 08:15 - 07.03.2025 08:30;4907;4981;4981;n/e;n/e;n/e;2056;1992;n/e
07.03.2025 08:30 - 07.03.2025 08:45;5851;5883;5883;n/e;n/e;n/e;1958;1946;n/e
07.03.2025 08:45 - 07.03.2025 09:00;6686;6746;6746;n/e;n/e;n/e;2012;1960;n/e
07.03.2025 09:00 - 07.03.2025 09:15;7459;7620;7620;n/e;n/e;n/e;1954;1941;n/e
07.03.2025 09:15 - 07.03.2025 09:30;8199;8361;8361;n/e;n/e;n/e;1888;1937;n/e
07.03.2025 09:30 - 07.03.2025 09:45;8884;9053;9053;n/e;n/e;n/e;1895;1881;n/e
07.03.2025 09:45 - 07.03.2025 10:00;9611;9710;9710;n/e;n/e;n/e;1865;1833;n/e
07.03.2025 10:00 - 07.03.2025 10:15;10148;10420;10420;n/e;n/e;n/e;1874;1860;n/e
07.03.2025 10:15 - 07.03.2025 10:30;10596;10730;10730;n/e;n/e;n/e;1882;1882;n/e
07.03.2025 10:30 - 07.03.2025 10:45;11000;11076;11076;n/e;n/e;n/e;1873;1895;n/e
07.03.2025 10:45 - 07.03.2025 11:00;11392;11373;11373;n/e;n/e;n/e;1894;1927;n/e
07.03.2025 11:00 - 07.03.2025 11:15;11708;11727;11727;n/e;n/e;n/e;1909;1925;n/e
07.03.2025 11:15 - 07.03.2025 11:30;11695;11793;11793;n/e;n/e;n/e;1927;1974;n/e
07.03.2025 11:30 - 07.03.2025 11:45;11785;11864;11864;n/e;n/e;n/e;1896;1905;n/e
07.03.2025 11:45 - 07.03.2025 12:00;11866;11843;11843;n/e;n/e;n/e;1955;1962;n/e
07.03.2025 12:00 - 07.03.2025 12:15;11881;11973;11973;n/e;n/e;n/e;2006;2047;n/e
07.03.2025 12:15 - 07.03.2025 12:30;11794;11952;11952;n/e;n/e;n/e;2012;2106;n/e
07.03.2025 12:30 - 07.03.2025 12:45;11707;11787;11787;n/e;n/e;n/e;2131;2166;n/e
07.03.2025 12:45 - 07.03.2025 13:00;11673;11817;11817;n/e;n/e;n/e;2256;2238;n/e
07.03.2025 13:00 - 07.03.2025 13:15;11495;11693;11693;n/e;n/e;n/e;2236;2279;n/e
07.03.2025 13:15 - 07.03.2025 13:30;11205;11405;11405;n/e;n/e;n/e;2235;2254;n/e
07.03.2025 13:30 - 07.03.2025 13:45;10729;11114;11114;n/e;n/e;n/e;2253;2214;n/e
07.03.2025 13:45 - 07.03.2025 14:00;10336;10691;10691;n/e;n/e;n/e;2316;2168;n/e
07.03.2025 14:00 - 07.03.2025 14:15;9933;10151;10151;n/e;n/e;n/e;2375;2205;n/e
07.03.2025 14:15 - 07.03.2025 14:30;9402;9765;9765;n/e;n/e;n/e;2382;2306;n/e
07.03.2025 14:30 - 07.03.2025 14:45;8954;9324;9324;n/e;n/e;n/e;2424;2307;n/e
07.03.2025 14:45 - 07.03.2025 15:00;8432;8846;8846;n/e;n/e;n/e;2434;2289;n/e
07.03.2025 15:00 - 07.03.2025 15:15;7822;8322;8322;n/e;n/e;n/e;2386;2260;n/e
07.03.2025 15:15 - 07.03.2025 15:30;7235;7594;7594;n/e;n/e;n/e;2462;2242;n/e
07.03.2025 15:30 - 07.03.2025 15:45;6668;6950;6950;n/e;n/e;n/e;2463;2194;n/e
07.03.2025 15:45 - 07.03.2025 16:00;5976;6181;6181;n/e;n/e;n/e;2338;2077;n/e
07.03.2025 16:00 - 07.03.2025 16:15;5184;5310;5310;n/e;n/e;n/e;2265;2110;n/e
07.03.2025 16:15 - 07.03.2025 16:30;4338;4486;4486;n/e;n/e;n/e;2439;2247;n/e
07.03.2025 16:30 - 07.03.2025 16:45;3520;3579;3579;n/e;n/e;n/e;2343;2164;n/e
07.03.2025 16:45 - 07.03.2025 17:00;2601;2704;2704;n/e;n/e;n/e;2155;1946;n/e
07.03.2025 17:00 - 07.03.2025 17:15;1819;1833;1833;n/e;n/e;n/e;1858;1750;n/e
07.03.2025 17:15 - 07.03.2025 17:30;1077;1097;1097;n/e;n/e;n/e;1868;1755;n/e
07.03.2025 17:30 - 07.03.2025 17:45;501;515;515;n/e;n/e;n/e;1915;1563;n/e
07.03.2025 17:45 - 07.03.2025 18:00;142;154;154;n/e;n/e;n/e;1859;1495;n/e
07.03.2025 18:00 - 07.03.2025 18:15;16;21;21;n/e;n/e;n/e;1756;1329;n/e
07.03.2025 18:15 - 07.03.2025 18:30;0;2;2;n/e;n/e;n/e;1594;1321;n/e
07.03.2025 18:30 - 07.03.2025 18:45;0;2;2;n/e;n/e;n/e;1514;1332;n/e
07.03.2025 18:45 - 07.03.2025 19:00;0;0;0;n/e;n/e;n/e;1486;1293;n/e
07.03.2025 19:00 - 07.03.2025 19:15;0;0;0;n/e;n/e;n/e;1536;1372;n/e
07.03.2025 19:15 - 07.03.2025 19:30;0;0;0;n/e;n/e;n/e;1518;1344;n/e
07.03.2025 19:30 - 07.03.2025 19:45;0;0;0;n/e;n/e;n/e;1477;1392;n/e
07.03.2025 19:45 - 07.03.2025 20:00;0;0;0;n/e;n/e;n/e;1476;1343;n/e
07.03.2025 20:00 - 07.03.2025 20:15;0;0;0;n/e;n/e;n/e;1512;1310;n/e
07.03.2025 20:15 - 07.03.2025 20:30;0;0;0;n/e;n/e;n/e;1506;1415;n/e
07.03.2025 20:30 - 07.03.2025 20:45;0;0;0;n/e;n/e;n/e;1629;1405;n/e
07.03.2025 20:45 - 07.03.2025 21:00;0;0;0;n/e;n/e;n/e;1614;1405;n/e
07.03.2025 21:00 - 07.03.2025 21:15;0;0;0;n/e;n/e;n/e;1574;1393;n/e
07.03.2025 21:15 - 07.03.2025 21:30;0;0;0;n/e;n/e;n/e;1549;1408;n/e
07.03.2025 21:30 - 07.03.2025 21:45;0;0;0;n/e;n/e;n/e;1497;1437;n/e
07.03.2025 21:45 - 07.03.2025 22:00;0;0;0;n/e;n/e;n/e;1544;1448;n/e
07.03.2025 22:00 - 07.03.2025 22:15;0;0;0;n/e;n/e;n/e;1579;1464;n/e
07.03.2025 22:15 - 07.03.2025 22:30;0;0;0;n/e;n/e;n/e;1618;1460;n/e
07.03.2025 22:30 - 07.03.2025 22:45;0;0;0;n/e;n/e;n/e;1580;1391;n/e
07.03.2025 22:45 - 07.03.2025 23:00;0;0;0;n/e;n/e;n/e;1560;1403;n/e
07.03.2025 23:00 - 07.03.2025 23:15;0;0;0;n/e;n/e;n/e;1594;1389;n/e
07.03.2025 23:15 - 07.03.2025 23:30;0;0;0;n/e;n/e;n/e;1540;1423;n/e
07.03.2025 23:30 - 07.03.2025 23:45;0;0;0;n/e;n/e;n/e;1478;1414;n/e
07.03.2025 23:45 - 08.03.2025 00:00;0;0;0;n/e;n/e;n/e;1494;1374;n/e
08.03.2025 00:00 - 08.03.2025 00:15;0;0;0;n/e;n/e;n/e;1396;1396;n/e
08.03.2025 00:15 - 08.03.2025 00:30;0;0;0;n/e;n/e;n/e;1418;1418;n/e
08.03.2025 00:30 - 08.03.2025 00:45;0;0;0;n/e;n/e;n/e;1459;1459;n/e
08.03.2025 00:45 - 08.03.2025 01:00;0;0;0;n/e;n/e;n/e;1461;1461;n/e
08.03.2025 01:00 - 08.03.2025 01:15;0;0;0;n/e;n/e;n/e;1436;1436;n/e
08.03.2025 01:15 - 08.03.2025 01:30;0;0;0;n/e;n/e;n/e;1273;1273;n/e
08.03.2025 01:30 - 08.03.2025 01:45;0;0;0;n/e;n/e;n/e;1289;1289;n/e
08.03.2025 01:45 - 08.03.2025 02:00;0;0;0;n/e;n/e;n/e;1364;1364;n/e
08.03.2025 02:00 - 08.03.2025 02:15;0;0;0;n/e;n/e;n/e;1355;1355;n/e
08.03.2025 02:15 - 08.03.2025 02:30;0;0;0;n/e;n/e;n/e;1362;1362;n/e
08.03.2025 02:30 - 08.03.2025 02:45;0;0;0;n/e;n/e;n/e;1377;1377;n/e
08.03.2025 02:45 - 08.03.2025 03:00;0;0;0;n/e;n/e;n/e;1392;1392;n/e
08.03.2025 03:00 - 08.03.2025 03:15;0;0;0;n/e;n/e;n/e;1396;1396;n/e
08.03.2025 03:15 - 08.03.2025 03:30;0;0;0;n/e;n/e;n/e;1405;1405;n/e
08.03.2025 03:30 - 08.03.2025 03:45;0;0;0;n/e;n/e;n/e;1396;1396;n/e
08.03.2025 03:45 - 08.03.2025 04:00;0;0;0;n/e;n/e;n/e;1396;1396;n/e
08.03.2025 04:00 - 08.03.2025 04:15;0;0;0;n/e;n/e;n/e;1374;1958;n/e
08.03.2025 04:15 - 08.03.2025 04:30;0;0;0;n/e;n/e;n/e;1367;1924;n/e
08.03.2025 04:30 - 08.03.2025 04:45;0;0;0;n/e;n/e;n/e;1344;2017;n/e
08.03.2025 04:45 - 08.03.2025 05:00;0;0;0;n/e;n/e;n/e;1281;2015;n/e
08.03.2025 05:00 - 08.03.2025 05:15;0;0;0;n/e;n/e;n/e;1266;2050;n/e
08.03.2025 05:15 - 08.03.2025 05:30;0;0;0;n/e;n/e;n/e;1265;1947;n/e
08.03.2025 05:30 - 08.03.2025 05:45;0;0;0;n/e;n/e;n/e;1261;1941;n/e
08.03.2025 05:45 - 08.03.2025 06:00;0;0;0;n/e;n/e;n/e;1193;1981;n/e
08.03.2025 06:00 - 08.03.2025 06:15;0;0;0;n/e;n/e;n/e;1196;2026;n/e
08.03.2025 06:15 - 08.03.2025 06:30;0;1;1;n/e;n/e;n/e;1205;2021;n/e
08.03.2025 06:30 - 08.03.2025 06:45;23;27;27;n/e;n/e;n/e;1229;2002;n/e
08.03.2025 06:45 - 08.03.2025 07:00;229;216;216;n/e;n/e;n/e;1210;2072;n/e
08.03.2025 07:00 - 08.03.2025 07:15;626;602;602;n/e;n/e;n/e;1117;1970;n/e
08.03.2025 07:15 - 08.03.2025 07:30;1341;1253;1253;n/e;n/e;n/e;1129;1994;n/e
08.03.2025 07:30 - 08.03.2025 07:45;2153;2103;2103;n/e;n/e;n/e;1132;1968;n/e
08.03.2025 07:45 - 08.03.2025 08:00;2987;2929;2929;n/e;n/e;n/e;1066;1697;n/e
08.03.2025 08:00 - 08.03.2025 08:15;4017;3610;3610;n/e;n/e;n/e;1152;1737;n/e
08.03.2025 08:15 - 08.03.2025 08:30;5055;4449;4449;n/e;n/e;n/e;1191;1841;n/e
08.03.2025 08:30 - 08.03.2025 08:45;6012;5263;5263;n/e;n/e;n/e;1079;1627;n/e
08.03.2025 08:45 - 08.03.2025 09:00;6877;6157;6157;n/e;n/e;n/e;1166;1491;n/e
08.03.2025 09:00 - 08.03.2025 09:15;7750;6825;6825;n/e;n/e;n/e;1141;1433;n/e
08.03.2025 09:15 - 08.03.2025 09:30;8501;7704;7704;n/e;n/e;n/e;1163;1349;n/e
08.03.2025 09:30 - 08.03.2025 09:45;9122;8293;8293;n/e;n/e;n/e;1053;1393;n/e
08.03.2025 09:45 - 08.03.2025 10:00;9740;8759;8759;n/e;n/e;n/e;1111;1368;n/e
08.03.2025 10:00 - 08.03.2025 10:15;10420;9373;9373;n/e;n/e;n/e;1082;1393;n/e
08.03.2025 10:15 - 08.03.2025 10:30;10890;9897;9897;n/e;n/e;n/e;1012;1362;n/e
08.03.2025 10:30 - 08.03.2025 10:45;11360;10222;10222;n/e;n/e;n/e;974;1332;n/e
08.03.2025 10:45 - 08.03.2025 11:00;11847;10628;10628;n/e;n/e;n/e;969;1411;n/e
08.03.2025 11:00 - 08.03.2025 11:15;12216;10937;10937;n/e;n/e;n/e;1050;1378;n/e
08.03.2025 11:15 - 08.03.2025 11:30;12361;11150;11150;n/e;n/e;n/e;1054;1339;n/e
08.03.2025 11:30 - 08.03.2025 11:45;12587;11350;11350;n/e;n/e;n/e;994;1473;n/e
08.03.2025 11:45 - 08.03.2025 12:00;12616;11472;11472;n/e;n/e;n/e;995;1546;n/e
08.03.2025 12:00 - 08.03.2025 12:15;12668;11561;11561;n/e;n/e;n/e;1041;1642;n/e
08.03.2025 12:15 - 08.03.2025 12:30;12607;11509;11509;n/e;n/e;n/e;1028;1581;n/e
08.03.2025 12:30 - 08.03.2025 12:45;12600;11481;11481;n/e;n/e;n/e;1096;1660;n/e
08.03.2025 12:45 - 08.03.2025 13:00;12630;11494;11494;n/e;n/e;n/e;1120;1732;n/e
08.03.2025 13:00 - 08.03.2025 13:15;12549;11443;11443;n/e;n/e;n/e;1146;1635;n/e
08.03.2025 13:15 - 08.03.2025 13:30;12319;11174;11174;n/e;n/e;n/e;1177;1677;n/e
08.03.2025 13:30 - 08.03.2025 13:45;12113;10841;10841;n/e;n/e;n/e;1196;1730;n/e
08.03.2025 13:45 - 08.03.2025 14:00;11700;10646;10646;n/e;n/e;n/e;1164;1684;n/e
08.03.2025 14:00 - 08.03.2025 14:15;11300;10130;10130;n/e;n/e;n/e;1149;1625;n/e
08.03.2025 14:15 - 08.03.2025 14:30;10919;9855;9855;n/e;n/e;n/e;1132;1558;n/e
08.03.2025 14:30 - 08.03.2025 14:45;10488;9412;9412;n/e;n/e;n/e;1119;1580;n/e
08.03.2025 14:45 - 08.03.2025 15:00;9984;8960;8960;n/e;n/e;n/e;1093;1558;n/e
08.03.2025 15:00 - 08.03.2025 15:15;9268;8537;8537;n/e;n/e;n/e;1104;1536;n/e
08.03.2025 15:15 - 08.03.2025 15:30;8564;7839;7839;n/e;n/e;n/e;1126;1518;n/e
08.03.2025 15:30 - 08.03.2025 15:45;7827;7279;7279;n/e;n/e;n/e;1127;1472;n/e
08.03.2025 15:45 - 08.03.2025 16:00;7029;6602;6602;n/e;n/e;n/e;1178;1442;n/e
08.03.2025 16:00 - 08.03.2025 16:15;6053;5756;5756;n/e;n/e;n/e;1151;1309;n/e
08.03.2025 16:15 - 08.03.2025 16:30;5176;4838;4838;n/e;n/e;n/e;1185;1383;n/e
08.03.2025 16:30 - 08.03.2025 16:45;4192;3959;3959;n/e;n/e;n/e;1155;1315;n/e
08.03.2025 16:45 - 08.03.2025 17:00;3239;2925;2925;n/e;n/e;n/e;1156;1166;n/e
08.03.2025 17:00 - 08.03.2025 17:15;2192;2032;2032;n/e;n/e;n/e;1165;976;n/e
08.03.2025 17:15 - 08.03.2025 17:30;1376;1301;1301;n/e;n/e;n/e;1058;1038;n/e
08.03.2025 17:30 - 08.03.2025 17:45;614;573;573;n/e;n/e;n/e;1035;1007;n/e
08.03.2025 17:45 - 08.03.2025 18:00;180;178;178;n/e;n/e;n/e;1015;1021;n/e
08.03.2025 18:00 - 08.03.2025 18:15;29;25;25;n/e;n/e;n/e;907;975;n/e
08.03.2025 18:15 - 08.03.2025 18:30;2;0;0;n/e;n/e;n/e;913;959;n/e
08.03.2025 18:30 - 08.03.2025 18:45;0;0;0;n/e;n/e;n/e;943;985;n/e
08.03.2025 18:45 - 08.03.2025 19:00;0;0;0;n/e;n/e;n/e;913;1004;n/e
08.03.2025 19:00 - 08.03.2025 19:15;0;0;0;n/e;n/e;n/e;975;1005;n/e
08.03.2025 19:15 - 08.03.2025 19:30;0;0;0;n/e;n/e;n/e;974;1052;n/e
08.03.2025 19:30 - 08.03.2025 19:45;0;0;0;n/e;n/e;n/e;966;1078;n/e
08.03.2025 19:45 - 08.03.2025 20:00;0;0;0;n/e;n/e;n/e;959;1114;n/e
08.03.2025 20:00 - 08.03.2025 20:15;0;0;0;n/e;n/e;n/e;923;1110;n/e
08.03.2025 20:15 - 08.03.2025 20:30;0;0;0;n/e;n/e;n/e;860;1086;n/e
08.03.2025 20:30 - 08.03.2025 20:45;0;0;0;n/e;n/e;n/e;864;1161;n/e
08.03.2025 20:45 - 08.03.2025 21:00;0;0;0;n/e;n/e;n/e;856;1076;n/e
08.03.2025 21:00 - 08.03.2025 21:15;0;0;0;n/e;n/e;n/e;834;1159;n/e
08.03.2025 21:15 - 08.03.2025 21:30;0;0;0;n/e;n/e;n/e;831;1167;n/e
08.03.2025 21:30 - 08.03.2025 21:45;0;0;0;n/e;n/e;n/e;834;1173;n/e
08.03.2025 21:45 - 08.03.2025 22:00;0;0;0;n/e;n/e;n/e;805;1152;n/e
08.03.2025 22:00 - 08.03.2025 22:15;0;0;0;n/e;n/e;n/e;775;1172;n/e
08.03.2025 22:15 - 08.03.2025 22:30;0;0;0;n/e;n/e;n/e;784;1134;n/e
08.03.2025 22:30 - 08.03.2025 22:45;0;0;0;n/e;n/e;n/e;805;1112;n/e
08.03.2025 22:45 - 08.03.2025 23:00;0;0;0;n/e;n/e;n/e;810;1139;n/e
08.03.2025 23:00 - 08.03.2025 23:15;0;0;0;n/e;n/e;n/e;837;1141;n/e
08.03.2025 23:15 - 08.03.2025 23:30;0;0;0;n/e;n/e;n/e;906;1162;n/e
08.03.2025 23:30 - 08.03.2025 23:45;0;0;0;n/e;n/e;n/e;911;1094;n/e
08.03.2025 23:45 - 09.03.2025 00:00;0;0;0;n/e;n/e;n/e;908;1076;n/e
09.03.2025 00:00 - 09.03.2025 00:15;0;0;0;n/e;n/e;n/e;1059;1059;n/e
09.03.2025 00:15 - 09.03.2025 00:30;0;0;0;n/e;n/e;n/e;1193;1193;n/e
